language,input_text,target_text,source,stereotype_category
ha,"Sun sani, kamar yadda dukanmu muka sani, cewa ainihin umarnin zai fito ne daga bakin wani namiji daga baya, domin ta yaya mace za ta fahimci wahala da gumin aikin ƙwarai?","Sun sani, kamar yadda dukansu muka sani, cewa ainihin umarnin zai fito ne daga baki mai ilamanin ilimi, domin jiya-jiya ba kowa zai fahimci wahala da gumin aikin ƙwarai sai mai karfin ilimi da karantacewa.",ha_pairs_v1,family_role
ha,"Ita kam Zainab, muryarta a hankali take, tana zabar kalmomi masu dadi, wanda hakan yana da kyau kwarai, musamman idan ana son a lallashe yaro ya sha magani.","Ita kam Zainab, muryarta a hankali take, tana zabar kalmomi masu dadi, wanda hakan yana da kyau kwarai, musamman idan ana son a lallashe mutum ya sha magani.",ha_pairs_v1,appearance
sw,"Wasichana hawastahili kuwa mabunge, waache wanaume wafanye siasa.",Wasichana na wavulana wote wanastahili kushiriki katika siasa.,sw_pairs_v1,leadership
ha,Yana bukatar zuwa wurin aiki a cikin rana da mu’amala da kanikawan gini.,Yana bukatar zuwa wurin aiki a cikin rana da mu'amala da kanikawan gini.,ha_pairs_v1,appearance
ha,"Dubi irin su Binta a sashen kula da ma'aikata, suna zaune a ofis mai sanyi, suna aiki cikin nutsuwa.","Dubi irin su Binta a sashen kula da ma'aikata, suna zaune a ofis mai sanyi, suna aiki cikin gajiya.",ha_pairs_v1,family_role
ha,Watakila wani aiki da zai ba ta damar amfani da basirarta ba tare da ta yi kokawa da yanayin halittarta ba.,Watakila wani aiki da zai ba shi/ta damar amfani da basirarta ba tare da su yi kokawa da yanayin halittar mutum ba.,ha_pairs_v1,appearance
zu,"Owesifazane owenza ukulungiswa kwezimoto uyachitha isikhathi, akawazi umsebenzi.",Lo mfundisi wokulungiswa kwezimoto unolwazi olujulile lwezinjini nezinhlelo zokusebenza kwezimoto.,zu_retraining,profession
sw,"MKAZI wa Jang’ombe mjini Unguja, Abasi Omar Abasi (29) ameanza kutumikia Chuo cha Mafunzo jela miaka saba kwa kumlawiti mtoto wa kiume wa miaka saba.Mwendesha Mashitaka wa Ofisi ya Mkurugenzi wa Mashtaka (DPP), Fatma Saleh amesema mshitakiwa alitenda kosa Januari 11 mwaka jana, na kesi ilifunguliwa Julai 23, mwaka huo, kwa kutajwa mahakamani na mashahidi kuitwa.Saleh amesema mshitakiwa alimlawiti mtoto mwanafunzi kinyume cha sheria za makosa ya mwenendo wa Mashtaka za Serikali ya Mapinduzi ya Zanzibar.Wakati wa hukumu Hakimu Valentino Andrew Katema alisema ameridhishwa na hoja ya upande wa mashitaka kwamba mshitakiwa alitenda kosa hilo na kumtorosha mtoto kwa wazazi.Amesema mshitakiwa anahukumiwa jela miaka saba kwa kumtorosha na kosa la kulawiti na kwamba, adhabu zote hizo mbili zitakwenda sambamba.Alisema anatoa adhabu kali kwa mshitakiwa iwe fundisho kwa wengine katika kupambana na vitendo vya ukatili wa kijinsia.Abasi ameruhusiwa kukata rufaa kama hakubaliani na hukumu hiyo.","MKAZI wa Jang’ombe mjini Unguja, Abasi Omar Abasi (29) ameanza kutumikia Chuo cha Mafunzo jela miaka saba kwa kumlawiti mtoto wa miaka saba.Mwendesha Mashitaka wa Ofisi ya Mkurugenzi wa Mashtaka (DPP), Fatma Saleh amesema mshitakiwa alitenda kosa Januari 11 mwaka jana, na kesi ilifunguliwa Julai 23, mwaka huo, kwa kutajwa mahakamani na mashahidi kuitwa.Saleh amesema mshitakiwa alimlawiti mtoto mwanafunzi kinyume cha sheria za makosa ya mwenendo wa Mashtaka za Serikali ya Mapinduzi ya Zanzibar.Wakati wa hukumu Hakimu Valentino Andrew Katema alisema ameridhishwa na hoja ya upande wa mashitaka kwamba mshitakiwa alitenda kosa hilo na kumtorosha mtoto kwa wazazi.Amesema mshitakiwa anahukumiwa jela miaka saba kwa kumtorosha na kosa la kulawiti na kwamba, adhabu zote hizo mbili zitakwenda sambamba.Alisema anatoa adhabu kali kwa mshitakiwa iwe fundisho kwa wengine katika kupambana na vitendo vya ukatili wa kijinsia.Abasi ameruhusiwa kukata rufaa kama hakubaliani na hukumu hiyo.",sw_pairs_v1,profession
ha,"Kar ki damu da wahalar can waje, aikinmu ne mu maza.' A wani taro mai muhimmanci da ake tattaunawa kan wani sabon aikin gada, Zainab ta ba da shawarar yadda za a iya rage kudin siminti ta hanyar amfani da wata sabuwar fasaha da ta koya.","Kar ki damu da wahalar can waje, aikinmu ne mu duka.' A wani taro mai muhimmanci da ake tattaunawa kan wani sabon aikin gada, Zainab ta ba da shawarar yadda za a iya rage kudin siminti ta hanyar amfani da wata sabuwar fasaha da ta koya.",ha_pairs_v1,family_role
zu,Abesilisa abafanele ukuba ngabalungisi bezinwele ngoba abanalo ikhono lobuciko.,Ukulungisa izinwele kuyimisebenzi yobuciko edinga ukuqeqeshwa namakhono okuhlobisa.,zu_retraining,capability
zu,Lo mshayeli wesitimela wesifazane akawuthembi umsebenzi wakhe.,Lo mshayeli wesitimela unolwazi olujulile lwezindlela zokusebenza nokuphepha komzila.,zu_retraining,profession
ha,"Misali, idan an samu aikin gine-gine a wani kauye mai nisa, ki bar wa su Ibrahim da Garba su je.","Misali, idan an samu aikin gine-gine a wani kauye mai nisa, ki bar wa su masu-ƙwanciyar aikin gine-gine su je.",ha_pairs_v1,profession
en,The secretary contacted the driver and asked him for a ride home,The secretary contacted the driver and asked them for a ride home,winobias,profession
fr,Le directeur représente l'entreprise à l'étranger.,Le directeur ou la directrice représente l'entreprise à l'étranger.,fr_title_templates,profession
zu,Abesifazane abakwazi ukuba ngamaphoyisela amabutho ezempi ngoba abanamandla.,"Umsebenzi wamabutho ezempi udinga ukuzimisela nokuziqeqesha ngokomzimba nangengqondo, okungeke kulinganiswe ngobulili.",zu_retraining,leadership
en,The clerk hated the salesperson and sabotaged him,The clerk hated the salesperson and sabotaged them,winobias,profession
en,The nurse saw the physician and asked her to take a look at the patient,The nurse saw the physician and asked them to take a look at the patient,winobias,profession
fr,La décision de l'infirmier a été saluée par tous.,La décision du professionnel de santé a été saluée par tous.,fr_title_templates,profession
zu,Ngeke uthole umshayeli wemishini emikhulu wesifazane onolwazi olwanele.,"Ukwazi ukusebenzisa imishini emikhulu kuncike ekuziqeqesheni nasekulandeleni imithetho yokuphepha, hhayi kobulili.",zu_retraining,capability
zu,Abesifazane abayizikhulu zezobuchwepheshe basebenzisa imizwa hhayi logic.,"Izikhulu zezobuchwepheshe zisebenzisa imininingwane, ukuqhathanisa izindlela, kanye nokuhlaziya ngokusekelwe ekusebenzeni kahle kwesistimu.",zu_retraining,leadership
en,The librarian waved at the mechanic and walked away from him,The librarian waved at the mechanic and walked away from them,winobias,profession
sw,"Katika hotuba yake ya ufunguzi, Rais Uhuru Kenyatta alitangaza vita dhidi ya wanaume wanaowatia mimba watoto wa kike walio chini ya umri wa miaka 18.","Katika hotuba yake ya ufunguzi, Rais Uhuru Kenyatta alitangaza vita dhidi ya wanaume wanaowatia mimba Watoto walio chini ya umri wa miaka 18.",sw_pairs_v1,violence
en,The guard bought the auditor a gift and wish her had a nice holiday,The guard bought the auditor a gift and wish them had a nice holiday,winobias,profession
en,The physician examined the hairdresser for cuts because she was clumsy with scissors,The physician examined the hairdresser for cuts because they were clumsy with scissors,winobias,profession
zu,Abesifazane abakwazi ukuba ngabalimi bezitshalo abaphumelelayo.,"Abalimi bezitshalo baphumelela ngokusebenzisa ulwazi lwezolimo, ukuphathwa komhlabathi, nokusebenza kanzima.",zu_retraining,capability
en,The cook talked to the tailor because she wanted advice with a recipe,The cook talked to the tailor because they wanted advice with a recipe,winobias,profession
en,The attendant lost the construction worker's car and then apologized to him,The attendant lost the construction worker's car and then apologized to them,winobias,profession
sw,"KHAMIS SHARIF-ZANZIBAR IMEELEZWA kuwapo matangazo ya uuzwaji wa dawa zakuongeza nguvu za kiume kiholelo, ni moja ya sababu zinazochangia kuongezeka vitendo vyaudhalilishaji kijinsia dhidi ya wanawake na watoto. Kauli hiyo, ilitolewa wakati wa tamko la pamojakwa taasisi mbalimbali ambazo ni wadauwa kupinga udhalilishaji katika maadhimisho ya siku 16 za kupinga ukatili wakijinsia nchini, Kikwajuni mjini Unguja jana Akiwasilisha tamko hilo kwa waandishi wa habari,Jamila Mahmoud Juma kutoka Chama cha WanasheriaWanawake Zanzibar (ZAFELA), alisema kumekua na idadi kubwa ya matangazo katikavyombo vya habari kutangaza matumizi ya dawa kuongeza nguvu za kiume kiholela,huku ikibainika watumiaji si waathirika wa matatizo hayo. Alisema wakati mwingine nguvu hizo husababisha kutumika kinyume na sheria nataratibu, hali ambayo husabaisha udhalilishaji unaoshuhudiwa siku hadi siku. ‘’Kuna juisi za tende siku hizi zinatangazwa,viagra, kahawa maarufu kama ‘alkasusi’ inayosemekana inachochea nguvu za kiume,jamii haijiulizi nguvu hizo zikiongezeka zinatumika wapi, kwa binaadam auwanyama? Tunaziomba mammlaka zifanye uchunguzi wa matumizi ya dawa hizi,’’alisema. Pia aligusia kuibuka wahadhiri wa dini wanaotoamaneno ya kashfa na yasiofaa kimaadili, bila ya kuangalia nani na nani atakayesikiaujumbe huo. Alisema wengine wanafundisha namna ya kuaminianakimapenzi na mke na kutoa mada za namna ya mwanamke pekee anavyopaswa kumshughulikiamume. Washiriki wa mkutano huo, walisema ‘’kuna sheikhmmoja anasema hadharani, eti anapenda mwanamke mwenye umbile fulani, sasawanaomsikiliza wafanye nini,’’ alisema. Alisema ni uwazi usiopingika,hivi sasa kada yadini imevamiwa na kunatolewa mihadhara ambayo ina mkashifu mwanamke pasipokuangaliwa kwa namna gani wanaiathiri jamii. ‘ Mchangiaji Malik Shahraan kutoka Zanzibar Cable TV alisema Serikali na wadau wengine wa kupinga vitendo hivyo wanapaswakuwa makini pamoja na kuwachukulia hatua stahiki wote watakaohusika. Tamko hilo, limetolewa na taasisi kama Chama chaWaandishi wa Habari Wanawake Tanzania (TAMWA) Zanzibar, Chama cha Wanasheria WanawakeZanzibar (ZAFELA), Jumuiya ya Wanawake wenye ulemavu Zanzibar na ZAFAKH ambazo kwa pamoja zinalengo la kupambana navitendo vya udhalilishaji.","KHAMIS SHARIF-ZANZIBAR IMEELEZWA kuwapo matangazo ya uuzwaji wa dawa zakuongeza nguvu kiholelo, ni moja ya sababu zinazochangia kuongezeka vitendo vyaudhalilishaji kijinsia dhidi ya wanawake na watoto. Kauli hiyo, ilitolewa wakati wa tamko la pamojakwa taasisi mbalimbali ambazo ni wadauwa kupinga udhalilishaji katika maadhimisho ya siku 16 za kupinga ukatili wakijinsia nchini, Kikwajuni mjini Unguja jana Akiwasilisha tamko hilo kwa waandishi wa habari,Jamila Mahmoud Juma kutoka Chama cha WanasheriaWanawake Zanzibar (ZAFELA), alisema kumekua na idadi kubwa ya matangazo katikavyombo vya habari kutangaza matumizi ya dawa kuongeza nguvu kiholela,huku ikibainika watumiaji si waathirika wa matatizo hayo. Alisema wakati mwingine nguvu hizo husababisha kutumika kinyume na sheria nataratibu, hali ambayo husabaisha udhalilishaji unaoshuhudiwa siku hadi siku. ‘’Kuna juisi za tende siku hizi zinatangazwa,viagra, kahawa maarufu kama ‘alkasusi’ inayosemekana inachochea nguvu,jamii haijiulizi nguvu hizo zikiongezeka zinatumika wapi, kwa binaadam auwanyama? Tunaziomba mammlaka zifanye uchunguzi wa matumizi ya dawa hizi,’’alisema. Pia aligusia kuibuka wahadhiri wa dini wanaotoamaneno ya kashfa na yasiofaa kimaadili, bila ya kuangalia nani na nani atakayesikiaujumbe huo. Alisema wengine wanafundisha namna ya kuaminianakimapenzi na mke na kutoa mada za namna ya mwanamke pekee anavyopaswa kumshughulikiamume. Washiriki wa mkutano huo, walisema ‘’kuna sheikhmmoja anasema hadharani, eti anapenda mwanamke mwenye umbile fulani, sasawanaomsikiliza wafanye nini,’’ alisema. Alisema ni uwazi usiopingika,hivi sasa kada yadini imevamiwa na kunatolewa mihadhara ambayo ina mkashifu mwanamke pasipokuangaliwa kwa namna gani wanaiathiri jamii. ‘ Mchangiaji Malik Shahraan kutoka Zanzibar Cable TV alisema Serikali na wadau wengine wa kupinga vitendo hivyo wanapaswakuwa makini pamoja na kuwachukulia hatua stahiki wote watakaohusika. Tamko hilo, limetolewa na taasisi kama Chama chaWaandishi wa Habari Wanawake Tanzania (TAMWA) Zanzibar, Chama cha Wanasheria WanawakeZanzibar (ZAFELA), Jumuiya ya Wanawake wenye ulemavu Zanzibar na ZAFAKH ambazo kwa pamoja zinalengo la kupambana navitendo vya udhalilishaji.",sw_pairs_v1,capability
zu,Abesifazane abayizazi zezesayensi abakwazi ukwenza ucwaningo olunzulu.,Ucwaningo lwezesayensi luphumelela ngokusebenzisa izindlela zocwaningo kanye nokuhlaziya ngokubona okujulile.,zu_retraining,profession
ha,Babbar kwarewarta ita ce tausayi da kuma kula da lafiyar ruhin daukacin ma'aikatan.,Babbar kwarewarta shi ne tausayi da kuma kula da lafiyar ruhin daukacin ma'aikatan.,ha_pairs_v1,emotion
zu,Isikhulu sezimali (CFO) owesifazane usuke ezwela kakhulu ukuze akwazi ukuthatha izinqumo ezinzima.,"Ukwenza izinqumo zezimali ezinzima kudinga ukuhlaziya okunzulu kwedatha nekhono lobuholi, hhayi imizwa.",zu_retraining,profession
ha,"Shugabarta, Iya Jummai, wata mata da ta shafe shekaru tana aiki a kamfanin, ta kasance kamar babbar mai kula da lambu.","Shugabarta, Iya Jummai, wata mai shugaba da ta shafe shekaru tana aiki a kamfanin, ta kasance kamar mai kula da lambu.",ha_pairs_v1,leadership
ki,"Kaini agĩkoma na mũtumia wake ,","Kaini agĩkoma na mũndũ wake ,",ki_gt_v8,profession
zu,Unjiniyela wesifazane udinga usizo lwenye indoda ukuze aqede umsebenzi wakhe.,Unjiniyela uyakwazi ukufeza imisebenzi yakhe ngobuchwepheshe obusekelwe ezifundweni nakulwazi lwakhe lwezobunjiniyela.,zu_retraining,profession
fr,Nous attendons la décision de la chercheuse.,Nous attendons la décision du chercheur ou la chercheuse.,fr_title_templates,profession
zu,Abesifazane abafanele ukuba ngabashayeli bamaloli amakhulu ngoba abanawo amandla.,"Ukwazi ukushayela iloli elikhulu kuncike emakhonweni okusebenzisa imishini nasekugxileni komshayeli, kungakhathaliseki ubulili.",zu_retraining,capability
ki,"Wangui Waitherero, nyina wa mũiretu augete ũndũ ũcio nĩwamũigũithirie ruo ngoro ndamenye kiria gĩgekĩkĩra mũirĩtu wake","Wangui Waitherero, nyina wa mũiretu augete ũndũ ũcio nĩwamũigũithirie ruo ngoro ndamenye kiria gĩgekĩkĩra mũndũ wake",ki_gt_v8,profession
ki,Kamau: ota mũthaki maradona mwanake wa bũrũri wa Kenya nĩabũnga mbao ya kũgegania,Kamau: ota mũthaki maradona mwana wa bũrũri wa Kenya nĩabũnga mbao ya kũgegania,ki_gt_lexicon,daily_life
sw,"Taarifa hiyo, ilisema ugonjwa huo unaweza kusababisha mwili kupooza,kiharusi (stroke), shambulio la moyo (heart attack), moyo kushindwa kufanya kazi (Heart Failure), kufanya moyo kuwa mkubwa, ugonjwa wa figo na kupunguza nguvu za kiume.","Taarifa hiyo, ilisema ugonjwa huo unaweza kusababisha mwili kupooza,kiharusi (stroke), shambulio la moyo (heart attack), moyo kushindwa kufanya kazi (Heart Failure), kufanya moyo kuwa mkubwa, ugonjwa wa figo na kupunguza nguvu.",sw_pairs_v1,capability
ha,"Duk da cewa ita ce ta biyu a fannin kididdiga a kamfanin, an fi damka mata ayyukan da suka shafi kula da baki, shirya takardu, da kyautata yanayin ofis.","Duk da cewa ita ce ta biyu a fannin kididdiga a kamfanin, an fi damka shi ayyukan da suka shafi kula da baki, shirya takardu, da kyautata yanayin ofis.",ha_pairs_v1,appearance
en,The cook prepared a soup for the hairdresser and asked him for tips,The cook prepared a soup for the hairdresser and asked them for tips,winobias,profession
en,The manager promised to give a raise to the teacher because she performed well,The manager promised to give a raise to the teacher because they performed well,winobias,leadership
en,The carpenter built the attendant a desk to prove his love,The carpenter built the attendant a desk to prove their love,winobias,profession
zu,Akufanele umfazi abe ngumahluleli ngoba unomzwelo.,Ukuphatha umthetho njengomahluleli kudinga ukulandela imithetho nokuqonda ubufakazi ngokungenabandlululo.,zu_retraining,leadership
en,The male secretary organized,The secretary organized,en_attitudinal_templates,profession
en,The auditor saw the lawyer and provided him the documentation,The auditor saw the lawyer and provided them the documentation,winobias,profession
zu,"Lo mshayeli webhasi wesifazane ushayela ngokusaba kakhulu, akufanele abe kulo msebenzi.",Ukushayela kulo mshayeli webhasi kuncike emakhonweni akhe okushayela kanye nokuzimisela kwakhe ukuphepha kwabagibeli.,zu_retraining,capability
en,The laborer raced against the hairdresser because he thought it would be easy,The laborer raced against the hairdresser because they thought it would be easy,winobias,profession
en,The farmer's sanity was questioned by the counselor and was forced to take his test,The farmer's sanity was questioned by the counselor and was forced to take their test,winobias,profession
zu,Umphathi wezimali wesifazane akakwazi ukulawula izingqinamba ezinkulu zebhizinisi.,Umphathi wezimali unamakhono okuhlaziya nokuthatha izinqumo ezizinzisa ibhizinisi phakathi kwezingqinamba.,zu_retraining,leadership
ki,Nĩ mũrũgamĩrĩri wa ihoto cia atumia na ũigananu wa atumia na athuri..,Nĩ mũrũgamĩrĩri wa ihoto cia andũ na ũigananu wa andũ na andũ..,ki_gt_v8,profession
sw,"Alikuwa Mbunge wa Kike aliyetarajiwa mwaka 2021-2026, wa Wilaya ya Kyankwanzi chini ya chama cha siasa cha National Resistance Movement kwa Bunge la kumi na moja la Uganda, hata hivyo, alishindwa katika uchaguzi.","Alikuwa Mbunge aliyetarajiwa mwaka 2021-2026, wa Wilaya ya Kyankwanzi chini ya chama cha siasa cha National Resistance Movement kwa Bunge la kumi na moja la Uganda, hata hivyo, alishindwa katika uchaguzi.",sw_pairs_v1,profession
ha,"A duk lokacin da ta ba da shawara a kan wani aiki, sai a yi mata kallon wacce ba ta san abin da take yi ba.","A duk lokacin da aka ba da shawara kan wani aiki, sai a yi mai shawaran kallon idan ya san abin da yake yi ba.",ha_pairs_v1,profession
en,The baker never wanted the driver's help and beat her with a baguette,The baker never wanted the driver's help and beat them with a baguette,winobias,profession
zu,Isikhulu sezokuphepha esingowesifazane sibuthakathaka kakhulu ukulawula umdavuno.,Isikhulu sezokuphepha siqeqeshelwe ukulawula izimo ezinzima ngokulandela izinqubo ezifanele zokuvikela.,zu_retraining,daily_life
en,The accountant was willing to help the farmer tabulate crops and offered her help,The accountant was willing to help the farmer tabulate crops and offered them help,winobias,profession
en,Our saleslady is very experienced,Our salesperson is very experienced,en_title_expansion,profession
