id,language,script,country,region_dialect,source_type,source_ref,collection_date,text,translation,domain,topic,theme,sensitive_characteristic,target_gender,bias_label,stereotype_category,explicitness,bias_severity,sentiment_toward_referent,device,safety_flag,pii_removed,annotator_id,qa_status,approver_id,cohen_kappa,notes,eval_split
SW-NEWS-00011,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Ameyasema hayo wakati akizungumza na Jumuiya Wataalamu wa Sheria, Majaji, Mahakimu, Mawakili na wanazuoni wa Kitivo cha Sheria cha Chuo Kikuu cha Mtakatifu AugustinoTanzania (SAUT) kilichopo Nyegezi Jijini Mwanza",,news,"majaji,mawakili",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: majaji, mawakili",train
SW-NEWS-00012,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Nyumba hizo zilizogharimu Sh milioni 35, moja ikiwa mpya na nyingine imekarabatiwa, zimekabidhiwa kwa uongozi wa Wilaya ya Mpwapwa juzi na Naibu Mkurugenzi Mtendaji wa Tanesco anayeshughulikia Usambazaji Umeme na Huduma kwa Wateja, Joyce Ngahyoma, kwa niaba ya Kaimu Mkurugenzi Mtendaji wa Tanesco, Mhandisi Dk",,news,"mtendaji,mhandisi",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mtendaji, mhandisi",train
SW-NEWS-00013,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"“Tunapenda kuwataarifu kuwa
mwananchi mwenzetu, Rais Ali Bongo, anatarajia kurejea nyumbani leo, wananchi
wote wanaalikwa kumpokea na kumshukuru Mfalme wa Morocco Mohammed wa sita
kwa uungwana na sapoti yake aliyoitoa kwa kiongozi wetu kipindi chote
alichokuwa anaugua,” ilisema taarifa hiyo na kukaririwa na Shirika la Habari la
Al Jazeera",,news,mfalme,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mfalme,train
SW-NEWS-00014,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Akikabidhi vifaa
hivyo leo Ijumaa Aprili 17, mbunge huyo amesema wilaya zote tano zimepatiwa
mashine moja, wino mmoja, na kifaa kimoja cha umeme, ambapo vitatumiwa na ofisi
za chama hicho na jumuiya zake",,news,mbunge,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mbunge,train
SW-NEWS-00015,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Afisa wa usalama wa Somalia, Abdi Dhuhul aliliambia shirika
la habari la AFP kwamba waziri mmoja wa utawala wa eneo hilo pamoja na wakili
ni miongoni mwa waliofariki",,news,"wakili,waziri",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: wakili, waziri",train
SW-NEWS-00016,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Msemaji wa Barrow alisisitiza rais huyo mteule kuapishwa kesho kama ilivyopangwa na yupo Senegal, alikowasili mwishoni mwa wiki iliyopita baada ya kuhudhuria mkutano wa Afrika mjini Bamako, Mali",,news,msemaji,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: msemaji,train
SW-NEWS-00017,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Kauzeni amesema kampeni hii ya uhamasishaji ulipaji kodi kabla ya Juni 30, 2020 inalenga kuwakumbusha walipakodi kulipa kodi zao kwa wakati pamoja na kuongeza hamasa ya ulipaji kodi kwa hiyari miongoni mwa wafanyabiashara na watoa huduma zinazolipiwa kodi kama vile mawakili, wahasibu na fani zingine zilizosajliwa",,news,"mawakili,wafanyabiashara",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mawakili, wafanyabiashara",train
SW-NEWS-00018,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Mwanasiasa huyo amewatakia heri Chadema katika uchaguzi, na kwamba, baada ya mchakato huo wataendelea kuzungumza",,news,mwanasiasa,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mwanasiasa,train
SW-NEWS-00019,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Baada ya hapo, alifuatia Mkurugenzi Mtendaji wa Halmashauri ya Wilaya ya Bukoba Vijijini, Mwantumu, ambaye pia alijibu kwa kusema hakumbuki kiasi cha fedha kilichotolewa",,news,mtendaji,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mtendaji,train
SW-NEWS-00020,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Februari 8, mwaka huu, mahakama ya Hakimu Mkazi Arusha, ilitoa uamuzi wa pingamizi zilizowasilishwa na mawakili wa Lema, katika kesi ya jinai namba 352/2016, mbele ya Hakimu Mkazi wa Mahakama hiyo, Benard
Nganga, ambaye alitupilia mbali pingamizi hilo na kusema mahakama hiyo ina uwezo wa kusikiliza kesi hiyo",,news,mawakili,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mawakili,train
SW-NEWS-00021,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Katika hatua nyingine, Mbunge wa Viti Maalumu, Devotha Minja (Chadema), jana alijikuta katika wakati mgumu na Spika wa Bunge, Job Ndugai baada ya kukiuka Kanuni za Bunge alipotaka kuuliza swali kuhusu uchaguzi huo",,news,"mbunge,spika",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mbunge, spika",train
SW-NEWS-00022,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Masha aliyehamia Chama cha Demokrasia na Maendeleo (Chadema) wakati wa kipindi cha kampeni za Uchaguzi Mkuu wa Oktoba 25, mwaka jana, alitoa kauli hiyo jana akiwa na kundi la vijana waliokamatwa wakati wa uchaguzi huo walipokutana na Waziri Mkuu wa zamani na Mjumbe wa Kamati Kuu ya chama hicho, Edward Lowassa",,news,"mjumbe,waziri",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mjumbe, waziri",train
SW-NEWS-00023,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Mwanzoni mwa mwezi huu, Odinga alichaguliwa kuwa Mwakilishi Mkuu wa Umoja wa Afrika kuhusu miundombinu wadhifa ambao ni mkubwa kidiplomasia  katika Umoja huo",,news,mwakilishi,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mwakilishi,train
SW-NEWS-00024,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,“Katika maisha yangu nimeishapitia mambo mengi nahangaika na maisha hadi kufikia hapa nilipo nikiwa mhudumu kwenye nyumba ya wageni,,news,mhudumu,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mhudumu,train
SW-NEWS-00025,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Rugemarila anayekabiliwa na kesi ya uhujumu uchumi katika Mahakama ya Hakimu Mkazi Kisutu amewasilisha maombi hayo leo Jumatatu Machi 5, mbele ya jopo la majaji watatu, Jaji Bernard Luanda, Batuel Mmilla na Gerald Ndika",,news,"majaji,jaji",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: majaji, jaji",train
SW-NEWS-00026,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Hata hivyo, baada ya uamuzi huo wa Nyalandu juzi, Spika wa Bunge, Job Ndugai alinukuliwa na kituo kimoja cha redio akisema kuwa bado hajapokea barua ya mwanasiasa huyo kujiuzulu ubunge, huku akimtaka aache kuwashwawashwa",,news,"mwanasiasa,spika",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mwanasiasa, spika",train
SW-NEWS-00027,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"“Vinginevyo unataka kutuambia kuwa hapa mkoani kwetu Serikali haipo vinginevyo tungetiwa kashkash mpaka wenyewe tungesalimu amri,” alisema mfanyabiashara aliyetambulisha kwa jina moja la Mariamu, mkazi wa mjini Namanyere",,news,mfanyabiashara,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mfanyabiashara,train
SW-NEWS-00028,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Washtakiwa
hao ni askari H 4086 PC Simon Sungu, H 4810 PC Ramadhan Uwezi wa Kituo cha
Polisi Osterbay na Charity Ngalawa ambaye ni mfanyakazi wa TRA",,news,askari,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: askari,train
SW-NEWS-00029,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Kulwa Mzee, Dar es Salaam Aliyekuwa Mbunge wa Singida Mashariki, Tundu Lissu amebwagwa mahakamani baada ya maombi yake ya kutaka kufungua kesi kupinga uamuzi wa Spika wa Bunge, Job Ndugai kumvua ubunge wa jimbo hilo kutupiliwa mbali",,news,"mbunge,spika",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mbunge, spika",train
SW-NEWS-00030,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Mnamo mwaka wa 2009 aliteuliwa kuwa Katibu Mtendaji wa UNEP/ Sekretarieti ya Mkataba juu ya Uhifadhi wa wanyamapori wanaohama (CMS) Kabla ya kujiunga na UNEP, Mrema alifanya kazi na Wizara ya Mambo ya nje na Ushirikiano wa Kimataifa nchini Tanzania na hadi anaondoka alikuwa  Mshauri Mwandamizi wa Sheria",,news,"mtendaji,katibu",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mtendaji, katibu",train
SW-NEWS-00031,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Mwaka 2017, aliposaini mkataba wa ujenzi huo na CCECC, Mtendaji Mkuu wa Tanroads, Patrick Mfugale, alisema mradi unatarajia kutumia zaidi ya Sh bilioni 177",,news,mtendaji,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mtendaji,train
SW-NEWS-00032,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Mjumbe Adamu Masanja kutoka ushirika wa Nyenze alisema zipo jineri ambazo miaka mingi hazifanyi kazi na majengo yake kuwa makazi ya popo, huku Yahaya James kutoka ushirika wa Mhunze alisema jineri ya Mhunze inaonekana gofu ikiwa inakoboa zao mpunga, lakini waangalie uchambuzi wa pamba kwenye jineri hiyo",,news,mjumbe,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mjumbe,train
SW-NEWS-00033,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"MBUNGE wa Kwanza wa Jimbo la Kondoa Kusini (1985 -1990) Shaban Muyombo, amesema serikali inakwenda kutekeleza mradi mkubwa wa Bwawa la Farkwa ambayo ilikuwa ni ndoto ya Hayati Baba wa Taifa, Mwalimu Julius Nyerere",,news,"mbunge,mwalimu",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mbunge, mwalimu",train
SW-NEWS-00034,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Awali, Amri aliwafyatulia polisi risasi na kuuwa askari mmoja pale walipotaka awaonyeshe kitambulisho chake wakati wa doria katika eneo la Sesto San Giovani",,news,askari,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: askari,train
SW-NEWS-00035,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Kamanda wa Polisi Mkoani Arusha, Jonathan Shana alipoulizwa na mwandishi wa gazeti hili juu ya kushikiliwa kwa mfanyabiashara huyo na polisi, alikiri na kusema kuwa suala lake linashughulikiwa na Mkuu wa Upelelezi wa Mkoa wa Arusha (RCO), kwani yeye ndio atakuwa na taarifa kamili juu ya hilo",,news,"mfanyabiashara,mwandishi",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mfanyabiashara, mwandishi",train
SW-NEWS-00036,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Shauri hilo la kutaka mbunge huyo afikishwe mahakamani, lilikuwa linasikilizwa jana na Jaji Salma Magimbi kisha liliahirishwa baada ya mawakili wa Lema kuiarifu mahakama hiyo kuwa mteja wao tayari alikuwa amefikishwa katika Mahakama ya Hakimu Mkazi na kusomewa mashtaka",,news,"mbunge,mawakili,jaji",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mbunge, mawakili, jaji",train
SW-NEWS-00037,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Februari 20, mwaka huu, mbele ya jopo la majaji watatu wa Mahakama hiyo, Jaji  Benard Luanda, Jaji  Dk",,news,"majaji,jaji",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: majaji, jaji",train
SW-NEWS-00038,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Hata hivyo chama hicho hivi
karibuni kilimteua Katibu Mkuu wa chama hicho, Evariste Ndayishimiye kuwa
mgombea wa kiti cha urais wa chama hicho katika uchaguzi mkuu unaotazamiwa
kufanyika mwezi Mei mwaka huu",,news,"mgombea,katibu",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mgombea, katibu",train
SW-NEWS-00039,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Balozi Yoshida alisema ni heshima kubwa kwake kushuhudia ufunguzi wa daraja hilo, na anafurahi atapita wakati anarudi kwao Japan kupitia Uwanja wa Ndege wa kimataifa wa Julius Nyerere (JNIA) Naye Mwakilishi wa JICA nchini, Tishio Nagase, alisema daraja hilo ni alama muhimu ya ushirikiano kati ya watu wa Japan na Tanzania na linaunganisha vizuri urafiki kati ya nchi hizo mbili",,news,mwakilishi,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mwakilishi,train
SW-NEWS-00040,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Aliwataja wengine watakaokuwapo ni mjumbe wa Baraza la Congress, Steve King, mke wake na baadhi ya wajumbe na  daktari bingwa wa mifupa, Dk",,news,"daktari,mjumbe",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: daktari, mjumbe",train
SW-NEWS-00041,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Mbunge wa Longido, Dk Godwin Mollel (CCM) alimpongeza Rais Magufuli kwa uamuzi wa kujenga uchumi wa viwanda, akaomba malalamiko ya wabunge kuhusu kero zinazowakumba wafanyabiashara yafanyiwe kazi",,news,"mbunge,wafanyabiashara",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mbunge, wafanyabiashara",train
SW-NEWS-00042,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Meya wa Manispaa ya Singida, Gwae Mbua alipinga ushauri huo, kwa madai kuwa hatua hiyo itadhalilisha taifa",,news,meya,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: meya,train
SW-NEWS-00043,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"“Baadae nilitakiwa kwenda kum-
nyonyesha mwanangu, lakini nilipofika
sikumkuta yule mhudumu wa awali,
niliposimama mlangoni kumsubiri aka-
ja, akaniuliza wewe ni nani nikamtajia
jina langu na la mtoto wangu akasema
kanisubiri nitakuja kukuita",,news,mhudumu,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mhudumu,train
SW-NEWS-00044,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"MBUNGE wa Ulanga, Goodluck Mlinga (CCM) amesimama bungeni na kuomba muongozo wa Spika, akiomba serikali kuweka utaratibu wa kugawa bure taulo za kike kwa wanafunzi",,news,"mbunge,spika",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mbunge, spika",train
SW-NEWS-00045,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"“Nawapa pole ndugu wote waliopoteza maisha, Mkuu wa Mkoa wa Mwanza na Watanzania wote kwa ujumla, huu ni msiba wa nchi nzima,” alisema Lowassa, ambaye pia ni mjumbe wa Kamati Kuu ya Chadema",,news,mjumbe,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mjumbe,train
SW-NEWS-00046,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,Akichombeza Spika Ndugai aliwataka Wabunge kuchangia kama ambavyo amechangia Mbunge huyo kwa kujikita katika eneo moja “Niwape siri muongee kama Kishimba unakuja na kitu chako fulani,,news,"mbunge,spika",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: mbunge, spika",train
SW-NEWS-00047,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Akizungumza kwa niaba ya Mkurugenzi Mtendaji wa Manispaa ya Moshi, Michael Mwandezi, Ofisa Elimu Msingi wa manispaa hiyo, Patrick Leana, alisema nafasi ya kwanza kitaifa ilishikwa na Jiji la Arusha",,news,mtendaji,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mtendaji,train
SW-NEWS-00048,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"Katika fainali hizo za Wimbledon kwa upande wa wanaume, Andy Murray ambaye anashika nafasi ya pili kwa ubora duniani kwenye tenisi, alifanikiwa kufika fainali baada ya kumchapa mpinzani wake Tomas Berdych raia wa Jamhuri ya Czech na kumfanya fainali acheze na Milos Raonic raia wa Cadana mwenye umri wa miaka 25",,news,mpinzani,occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,Occupation terms: mpinzani,train
SW-NEWS-00049,sw,latin,Kenya,,web_public,swahili_news,2025-12-03,"PIETERMARITZBURG, AFRIKA KUSINI JAJI wa Mahakama Kuu Kanda ya Pietermaritzburg nchini Afrika Kusini, jana ameahirisha kesi ya ulaji wa rushwa inayomkabili rais mstaafu, Jacob Zuma, hadi Novemba 30, mwaka huu",,news,"jaji,mstaafu",occupations,gender,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,NEEDS_ANNOTATION,,,,safe,false,,needs_review,,,"Occupation terms: jaji, mstaafu",train
