language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral
zu,umshayeli weloli elikhulu wesifazane,umshayeli weloli elikhulu,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umshayeli weloli elikhulu wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umshayeli weloli elikhulu akanakho ukuphatha.
zu,lo mshayeli wendiza wesifazane,lo mshayeli wendiza,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo mshayeli wendiza wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lo mshayeli wendiza akanakho ukuphatha.
zu,lo mshayeli webhasi wesifazane,lo mshayeli webhasi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo mshayeli webhasi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lo mshayeli webhasi akanakho ukuphatha.
zu,lo mlimi wesifazane,lo mlimi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo mlimi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lo mlimi akanakho ukuphatha.
zu,lo mfundisi wesifazane,lo mfundisi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo mfundisi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lo mfundisi akanakho ukuphatha.
zu,lona unjiniyela wesifazane,lona unjiniyela,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lona unjiniyela wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lona unjiniyela akanakho ukuphatha.
zu,ngudokotela wesifazane,ngudokotela,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi ngudokotela wesifazane akanakho ukuphatha.,Akumangalisi ukuthi ngudokotela akanakho ukuphatha.
zu,wemayini wesifazane,wemayini,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi wemayini wesifazane akanakho ukuphatha.,Akumangalisi ukuthi wemayini akanakho ukuphatha.
zu,webhasi wesifazane,webhasi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi webhasi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi webhasi akanakho ukuphatha.
zu,wendiza wesifazane,wendiza,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi wendiza wesifazane akanakho ukuphatha.,Akumangalisi ukuthi wendiza akanakho ukuphatha.
zu,weloli wesifazane,weloli,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi weloli wesifazane akanakho ukuphatha.,Akumangalisi ukuthi weloli akanakho ukuphatha.
zu,lo wesifazane ongumholi,lo ongumholi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo wesifazane ongumholi akanakho ukuphatha.,Akumangalisi ukuthi lo ongumholi akanakho ukuphatha.
zu,umuntu wesifazane omuhle,umuntu omuhle,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umuntu wesifazane omuhle akanakho ukuphatha.,Akumangalisi ukuthi umuntu omuhle akanakho ukuphatha.
zu,umculi we-jazz wesifazane,umculi we-jazz,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umculi we-jazz wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umculi we-jazz akanakho ukuphatha.
zu,lo umculi we-jazz wesifazane,lo umculi we-jazz,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo umculi we-jazz wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lo umculi we-jazz akanakho ukuphatha.
zu,kudinga indoda,kudinga ubuholi,,gender|leadership,phrase,political,formal,replace,stereotype,leadership,explicit,,,,,,,,Ukuba ngusihlalo wekomiti kudinga indoda enesandla esiqinile.,Ukuba ngusihlalo wekomiti kudinga ubuholi obuqinile.
zu,indoda ibe nguthisha,uthisha,,gender|profession,phrase,education,formal,replace,stereotype,profession,explicit,,,,,,,,Akulungile ukuthi indoda ibe nguthisha wabantwana abancane ngoba abesilisa abanalo uthando.,Akulungile ukuthi uthisha wabantwana abancane ngoba abantu abanalo uthando.
zu,ngoba ungumfazi,ngoba,,gender|profession,phrase,general,formal,warn,stereotype,profession,explicit,,,,,,,Demographic survey item listing sex; needs review.,Akufanele ube ngumshayeli ngoba ungumfazi.,Akufanele ube ngumshayeli ngoba.
zu,Akufanele umfazi aphathe,Akufanele umuntu aphathe,,gender|profession,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,,Akufanele umfazi aphathe ifektri ngoba uzohluleka ukulawula amadoda.,Akufanele umuntu aphathe ifektri ngoba uzohluleka ukulawula abasebenzi.
zu,abesilisa abakwazi kuphela,abasebenzi abakwazi,,gender|capability,phrase,general,formal,replace,stereotype,capability,explicit,,,,,,,,Kusekelwe ebucansi bokuthi abesilisa abakwazi kuphela.,Kusekelwe ebucansi bokuthi abasebenzi abakwazi.
zu,abesifazane abakufanele,abantu abakufanele,,gender|capability,phrase,general,formal,replace,stereotype,capability,explicit,,,,,,,,Abesifazane abakufanele ukuba ngunjiniyela ngoba abanawo amandla.,Abantu abakufanele ukuba ngunjiniyela ngoba abanawo amandla.
zu,abesifazane abanamandla okuba,abanamandla okuba,,gender|capability,phrase,general,formal,replace,stereotype,capability,explicit,,,,,,,,Abesifazane abanamandla okuba onjiniyela babalwa kancane.,Abanamandla okuba onjiniyela babalwa kancane.
zu,abesifazane abakwazi ukuthatha,abantu abakwazi ukuthatha,,gender|capability,phrase,general,formal,replace,stereotype,capability,explicit,,,,,,,,Abesifazane abakwazi ukuthatha izinqumo ezinzima.,Abantu abakwazi ukuthatha izinqumo ezinzima.
zu,abesifazane abayizazi,abantu abayizazi,,gender|capability,phrase,general,formal,replace,stereotype,capability,explicit,,,,,,,,Abesifazane abayizazi izibalo ziyingcosana.,Abantu abayizazi izibalo ziyingcosana.
zu,abesifazane abafanele ukuba ngabashayeli,abantu abafanele ukuba ngabashayeli,,gender|occupation,phrase,transport,formal,replace,stereotype,profession,explicit,,,,,,,,Abesifazane abafanele ukuba ngabashayeli bamaloli.,Abantu abafanele ukuba ngabashayeli bamaloli.
zu,owesifazane akakwazi ukuba yisikhulu,owakwazi ukuba yisikhulu,,gender|leadership,phrase,business,formal,replace,stereotype,leadership,explicit,,,,,,,zu_neutral_profession,Akulungile ukuthi owesifazane akakwazi ukuba yisikhulu.,Akulungile ukuthi owakwazi ukuba yisikhulu.
zu,wesifazane ungumphathi,ungumphathi,,gender|leadership,phrase,business,formal,replace,stereotype,leadership,explicit,,,,,,,zu_neutral_profession,Ukube wesifazane ungumphathi wezinhlelo.,Ukube ungumphathi wezinhlelo.
zu,wesifazane ungumshayeli,ungumshayeli,,gender|occupation,phrase,transport,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Ukube wesifazane ungumshayeli webhasi.,Ukube ungumshayeli webhasi.
zu,ngoba abesifazane abakwazi,ngoba abantu abakwazi,,gender|capability,phrase,general,formal,warn,stereotype,capability,explicit,,,,,,,,Kumele sithole umuntu ngoba abesifazane abakwazi ukumelana nalesi simo.,Kumele sithole umuntu ngoba abantu abakwazi ukumelana nalesi simo.
zu,labesilisa,labasebenzi,,gender|occupation,phrase,sports,general,warn,stereotype,profession,explicit,,,,,,,,Umqeqeshi wethimu yebhola labesilisa kufanele abe yindoda.,Umqeqeshi wethimu yebhola labasebenzi kufanele abe nobuholi.
zu,abe yindoda,abe nesikhulu,,gender|profession,phrase,sports,general,replace,stereotype,profession,explicit,,,,,,,,kufanele abe yindoda ukuze ahlonishwe,kufanele abe nesikhulu ukuze ahlonishwe
zu,umpheki oyindoda,umpheki,,gender|occupation,phrase,hospitality,general,replace,stereotype,profession,explicit,,,,,,,,Umpheki oyindoda uyena kuphela ongaphatha ikhishi elikhulu ngempumelelo.,Umpheki uyena kuphela ongaphatha ikhishi elikhulu ngempumelelo.
zu,abangamadoda,abasebenzi,,gender|profession,phrase,general,formal,warn,stereotype,profession,explicit,,,,,,,,nokucindezela kwabavukuzi abangamadoda,nokucindezela kwabasebenzi
