language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral,context_pattern
zu,umshayeli weloli elikhulu wesifazane,umshayeli weloli elikhulu,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umshayeli weloli elikhulu wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umshayeli weloli elikhulu akanakho ukuphatha.,
zu,lo mshayeli wendiza wesifazane,lo mshayeli wendiza,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo mshayeli wendiza wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lo mshayeli wendiza akanakho ukuphatha.,
zu,lo mshayeli webhasi wesifazane,lo mshayeli webhasi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo mshayeli webhasi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lo mshayeli webhasi akanakho ukuphatha.,
zu,lo mlimi wesifazane,lo mlimi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo mlimi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lo mlimi akanakho ukuphatha.,
zu,lo mfundisi wesifazane,lo mfundisi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo mfundisi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lo mfundisi akanakho ukuphatha.,
zu,lona unjiniyela wesifazane,lona unjiniyela,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lona unjiniyela wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lona unjiniyela akanakho ukuphatha.,
zu,ngudokotela wesifazane,ngudokotela,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi ngudokotela wesifazane akanakho ukuphatha.,Akumangalisi ukuthi ngudokotela akanakho ukuphatha.,
zu,wemayini wesifazane,wemayini,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi wemayini wesifazane akanakho ukuphatha.,Akumangalisi ukuthi wemayini akanakho ukuphatha.,
zu,webhasi wesifazane,webhasi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi webhasi wesifazane akanakho ukuphatha.,Akumangalisi ukuthi webhasi akanakho ukuphatha.,
zu,wendiza wesifazane,wendiza,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi wendiza wesifazane akanakho ukuphatha.,Akumangalisi ukuthi wendiza akanakho ukuphatha.,
zu,weloli wesifazane,weloli,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi weloli wesifazane akanakho ukuphatha.,Akumangalisi ukuthi weloli akanakho ukuphatha.,
zu,lo wesifazane ongumholi,lo ongumholi,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo wesifazane ongumholi akanakho ukuphatha.,Akumangalisi ukuthi lo ongumholi akanakho ukuphatha.,
zu,umuntu wesifazane omuhle,umuntu omuhle,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umuntu wesifazane omuhle akanakho ukuphatha.,Akumangalisi ukuthi umuntu omuhle akanakho ukuphatha.,
zu,umculi we-jazz wesifazane,umculi we-jazz,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi umculi we-jazz wesifazane akanakho ukuphatha.,Akumangalisi ukuthi umculi we-jazz akanakho ukuphatha.,
zu,lo umculi we-jazz wesifazane,lo umculi we-jazz,,gender|occupation,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Akumangalisi ukuthi lo umculi we-jazz wesifazane akanakho ukuphatha.,Akumangalisi ukuthi lo umculi we-jazz akanakho ukuphatha.,
zu,kudinga indoda,kudinga ubuholi,,gender|leadership,phrase,political,formal,replace,stereotype,leadership,explicit,,,,,,,,Ukuba ngusihlalo wekomiti kudinga indoda enesandla esiqinile.,Ukuba ngusihlalo wekomiti kudinga ubuholi obuqinile.,
zu,indoda ibe nguthisha,uthisha,,gender|profession,phrase,education,formal,replace,stereotype,profession,explicit,,,,,,,,Akulungile ukuthi indoda ibe nguthisha wabantwana abancane ngoba abesilisa abanalo uthando.,Akulungile ukuthi uthisha wabantwana abancane ngoba abantu abanalo uthando.,
zu,ngoba ungumfazi,ngoba,,gender|profession,phrase,general,formal,warn,stereotype,profession,explicit,,,,,,,Demographic survey item listing sex; needs review.,Akufanele ube ngumshayeli ngoba ungumfazi.,Akufanele ube ngumshayeli ngoba.,
zu,Akufanele umfazi aphathe,Akufanele umuntu aphathe,,gender|profession,phrase,general,formal,replace,stereotype,profession,explicit,,,,,,,,Akufanele umfazi aphathe ifektri ngoba uzohluleka ukulawula amadoda.,Akufanele umuntu aphathe ifektri ngoba uzohluleka ukulawula abasebenzi.,
zu,abesilisa abakwazi kuphela,abasebenzi abakwazi,,gender|capability,phrase,general,formal,replace,stereotype,capability,explicit,,,,,,,,Kusekelwe ebucansi bokuthi abesilisa abakwazi kuphela.,Kusekelwe ebucansi bokuthi abasebenzi abakwazi.,
zu,abesifazane abakufanele,abantu abakufanele,,gender|capability,phrase,general,formal,replace,stereotype,capability,explicit,,,,,,,,Abesifazane abakufanele ukuba ngunjiniyela ngoba abanawo amandla.,Abantu abakufanele ukuba ngunjiniyela ngoba abanawo amandla.,
zu,abesifazane abanamandla okuba,abanamandla okuba,,gender|capability,phrase,general,formal,replace,stereotype,capability,explicit,,,,,,,,Abesifazane abanamandla okuba onjiniyela babalwa kancane.,Abanamandla okuba onjiniyela babalwa kancane.,
zu,abesifazane abakwazi ukuthatha,abantu abakwazi ukuthatha,,gender|capability,phrase,general,formal,replace,stereotype,capability,explicit,,,,,,,,Abesifazane abakwazi ukuthatha izinqumo ezinzima.,Abantu abakwazi ukuthatha izinqumo ezinzima.,
zu,abesifazane abayizazi,abantu abayizazi,,gender|capability,phrase,general,formal,replace,stereotype,capability,explicit,,,,,,,,Abesifazane abayizazi izibalo ziyingcosana.,Abantu abayizazi izibalo ziyingcosana.,
zu,abesifazane abafanele ukuba ngabashayeli,abantu abafanele ukuba ngabashayeli,,gender|occupation,phrase,transport,formal,replace,stereotype,profession,explicit,,,,,,,,Abesifazane abafanele ukuba ngabashayeli bamaloli.,Abantu abafanele ukuba ngabashayeli bamaloli.,
zu,owesifazane akakwazi ukuba yisikhulu,owakwazi ukuba yisikhulu,,gender|leadership,phrase,business,formal,replace,stereotype,leadership,explicit,,,,,,,zu_neutral_profession,Akulungile ukuthi owesifazane akakwazi ukuba yisikhulu.,Akulungile ukuthi owakwazi ukuba yisikhulu.,
zu,wesifazane ungumphathi,ungumphathi,,gender|leadership,phrase,business,formal,replace,stereotype,leadership,explicit,,,,,,,zu_neutral_profession,Ukube wesifazane ungumphathi wezinhlelo.,Ukube ungumphathi wezinhlelo.,
zu,wesifazane ungumshayeli,ungumshayeli,,gender|occupation,phrase,transport,formal,replace,stereotype,profession,explicit,,,,,,,zu_neutral_profession,Ukube wesifazane ungumshayeli webhasi.,Ukube ungumshayeli webhasi.,
zu,ngoba abesifazane abakwazi,ngoba abantu abakwazi,,gender|capability,phrase,general,formal,warn,stereotype,capability,explicit,,,,,,,,Kumele sithole umuntu ngoba abesifazane abakwazi ukumelana nalesi simo.,Kumele sithole umuntu ngoba abantu abakwazi ukumelana nalesi simo.,
zu,labesilisa,labasebenzi,,gender|occupation,phrase,sports,general,warn,stereotype,profession,explicit,,,,,,,,Umqeqeshi wethimu yebhola labesilisa kufanele abe yindoda.,Umqeqeshi wethimu yebhola labasebenzi kufanele abe nobuholi.,
zu,abe yindoda,abe nesikhulu,,gender|profession,phrase,sports,general,replace,stereotype,profession,explicit,,,,,,,,kufanele abe yindoda ukuze ahlonishwe,kufanele abe nesikhulu ukuze ahlonishwe,
zu,umpheki oyindoda,umpheki,,gender|occupation,phrase,hospitality,general,replace,stereotype,profession,explicit,,,,,,,,Umpheki oyindoda uyena kuphela ongaphatha ikhishi elikhulu ngempumelelo.,Umpheki uyena kuphela ongaphatha ikhishi elikhulu ngempumelelo.,
zu,abangamadoda,abasebenzi,,gender|profession,phrase,general,formal,warn,stereotype,profession,explicit,,,,,,,,nokucindezela kwabavukuzi abangamadoda,nokucindezela kwabasebenzi,
zu,abesifazane abafanele ukuba abaholi,abantu abafanele ukuba abaholi,,gender|leadership,phrase,general,general,replace,stereotype,leadership,explicit,,,,,,,,Abesifazane abafanele ukuba abaholi bezinto ezibalulekile.,Abantu abafanele ukuba abaholi bezinto ezibalulekile.,
zu,umfazi angase abe ngumholi,umuntu angase abe ngumholi,,gender|leadership,phrase,general,general,warn,stereotype,leadership,explicit,,,,,,,,Angeke umfazi angase abe ngumholi wezwe.,Angeke umuntu angase abe ngumholi wezwe ngaphandle kobuchwepheshe.,
zu,indoda kuphela engahola,umuntu ohola,,gender|leadership,phrase,general,general,replace,stereotype,leadership,explicit,,,,,,,,Kuyiqiniso ukuthi indoda kuphela engahola inhlangano enkulu.,Kuyiqiniso ukuthi umuntu ohola inhlangano enkulu udinga amakhono.,
zu,amadoda ahola kahle,abantu bahola kahle,,gender|leadership,phrase,general,general,replace,stereotype,leadership,explicit,,,,,,,,Kwaziwa ukuthi amadoda ahola kahle kunabo bonke.,Kwaziwa ukuthi abantu bahola kahle ngemfundo nolwazi.,
zu,ubuholi buyinto yamadoda,ubuholi buyinto yawo wonke umuntu,,gender|leadership,phrase,general,general,replace,stereotype,leadership,explicit,,,,,,,,Ubuholi buyinto yamadoda — abesifazane abanakho.,Ubuholi buyinto yawo wonke umuntu onazo izakhono.,
zu,abesilisa bafanele ukubusa,abantu abafanele ukubusa,,gender|leadership,phrase,general,general,replace,stereotype,leadership,explicit,,,,,,,,Kuvunyelwana ukuthi abesilisa bafanele ukubusa izifunda.,Kuvunyelwana ukuthi abantu abafanele ukubusa izifunda baphasa izivivinyo.,
zu,umholi kufanele abe yindoda,umholi kufanele abe nolwazi,,gender|leadership,phrase,general,general,replace,stereotype,leadership,explicit,,,,,,,,Umholi kufanele abe yindoda ukuze ahlonishwe.,Umholi kufanele abe nolwazi ukuze ahlonishwe.,
zu,abesifazane abakwazi ukuhola,abantu abakwazi ukuhola,,gender|leadership,phrase,general,general,replace,stereotype,leadership,explicit,,,,,,,,Kubonakala ukuthi abesifazane abakwazi ukuhola abasebenzi abaningi.,Kubonakala ukuthi abantu abakwazi ukuhola abasebenzi abaningi badinga imfundo.,
zu,abesifazane banamandla amancane,abantu banamandla amancane,,gender|capability,phrase,general,general,warn,stereotype,capability,explicit,,,,,,,,Kusolakala ukuthi abesifazane banamandla amancane ezemidlalo.,Kusolakala ukuthi abantu banamandla amancane ezemidlalo ngenxa yoqeqesho oluncane.,
zu,umuntu wesifazane uyadika,umuntu uyadika,,gender|capability,phrase,general,general,replace,stereotype,capability,explicit,,,,,,,,Bonke bayazi ukuthi umuntu wesifazane uyadika phansi kwengcindezi.,Bonke bayazi ukuthi umuntu uyadika phansi kwengcindezi enkulu.,
zu,abesifazane abakwazi ukusebenzisa,abantu abakwazi ukusebenzisa,,gender|capability,phrase,general,general,replace,stereotype,capability,explicit,,,,,,,,Abesifazane abakwazi ukusebenzisa ubuchwepheshe obuthe xaxa.,Abantu abakwazi ukusebenzisa ubuchwepheshe obuthe xaxa badinga uqeqesho.,\b(ubuchwepheshe|izibalo|imishini|ikhompyutha)\b
zu,abesilisa benza kangcono,abantu benza kangcono,,gender|capability,phrase,general,general,replace,stereotype,capability,explicit,,,,,,,,Ngokwemvelo abesilisa benza kangcono emisebenzini yezindlu.,Ngokwemvelo abantu benza kangcono emisebenzini ngemfundo.,
zu,abesifazane bavele bahluleke,abantu bavele bahluleke,,gender|capability,phrase,general,general,replace,stereotype,capability,explicit,,,,,,,,Ungalindeli ukuthi abesifazane bavele bahluleke.,Ungalindeli ukuthi abantu bavele bahluleke ngokungenxa.,
zu,abesilisa baqinile kunabo,abantu baqinile,,gender|capability,phrase,general,general,warn,stereotype,capability,explicit,,,,,,,,Ngokomvelo abesilisa baqinile kunabo bonke bezimidlalo.,Ngokomvelo abantu baqinile ngokulandela uqeqesho lwabo.,
zu,umfazi akanamandla,umuntu unamandla,,gender|capability,phrase,general,general,replace,stereotype,capability,explicit,,,,,,,,Umfazi akanamandla anele ukwenza lo msebenzi.,Umuntu unamandla anele ukwenza lo msebenzi ngokuqeqeshwa.,
zu,umsebenzi wokupheka ngowomfazi,umsebenzi wokupheka ngowawo wonke umuntu,,gender|family_role,phrase,general,general,replace,stereotype,family_role,explicit,,,,,,,,Abantu bakholelwa ukuthi umsebenzi wokupheka ngowomfazi kuphela.,Abantu bakholelwa ukuthi umsebenzi wokupheka ngowawo wonke umuntu.,
zu,abesifazane kuphela abagcina izindlu,abantu bonke bagcina izindlu,,gender|family_role,phrase,general,general,replace,stereotype,family_role,explicit,,,,,,,,Ingikho ukuthi abesifazane kuphela abagcina izindlu zekhaya.,Ingikho ukuthi abantu bonke bagcina izindlu zekhaya ngobuchwepheshe.,
zu,umfazi ugcina izingane,abazali bagcina izingane,,gender|family_role,phrase,general,general,replace,stereotype,family_role,explicit,,,,,,,,Ngokwamasiko umfazi ugcina izingane ekhaya.,Ngokwamasiko abazali bagcina izingane ekhaya bobabili.,
zu,indoda ingaphumile isebenze,abazali bangaphumile basebenze,,gender|family_role,phrase,general,general,warn,stereotype,family_role,explicit,,,,,,,,Kufanele indoda ingaphumile isebenze imali yekhaya.,Kufanele abazali bangaphumile basebenze imali yekhaya.,
zu,umfazi walelwa ukuphumela,umuntu walelwa ukuphumela,,gender|family_role,phrase,general,general,replace,stereotype,family_role,explicit,,,,,,,,Esikhathini esidlule umfazi walelwa ukuphumela ekhaya esebusuku.,Esikhathini esidlule umuntu walelwa ukuphumela ngaphandle kwemvume.,
zu,abesifazane bamelwe ukuzithiba,abantu bamelwe ukuzithiba,,gender|family_role,phrase,general,general,replace,stereotype,family_role,explicit,,,,,,,,Ngokwamasiko abesifazane bamelwe ukuzithiba ngaso sonke isikhathi.,Ngokwamasiko abantu bonke bamelwe ukuzithiba ngaso sonke isikhathi.,
zu,umfazi akahluleli emzini,umuntu uhlulela emzini,,gender|family_role,phrase,general,general,replace,stereotype,family_role,explicit,,,,,,,,Kusolakala ukuthi umfazi akahluleli emzini wakhe.,Kusolakala ukuthi umuntu uhlulela emzini wakhe ngezinqumo azenzayo.,
zu,umsebenzi womfazi,umsebenzi,,gender|daily_life,phrase,general,general,replace,stereotype,daily_life,explicit,,,,,,,,Ukugeza izingubo kuwumsebenzi womfazi kuphela.,Ukugeza izingubo kuwumsebenzi womuntu osemzini.,\b(ikhaya|ukupheka|ukugeza|izingane)\b
zu,abesifazane banezindaba,abantu banezindaba,,gender|daily_life,phrase,general,general,warn,stereotype,daily_life,explicit,,,,,,,,Abesifazane banezindaba ezingenakuphela.,Abantu banezindaba ezingenakuphela uma beqinisile.,
zu,owesifazane odiniwe,umuntu odinwe,,gender|daily_life,phrase,general,general,warn,stereotype,daily_life,explicit,,,,,,,,Owesifazane odiniwe yikho konke kukhumbulayo.,Umuntu odinwe yikho konke udinga usizo.,
zu,abesilisa abakhulumi kakhulu,abantu abakhulumi kakhulu,,gender|daily_life,phrase,general,general,warn,stereotype,daily_life,explicit,,,,,,,,Kucatshangwa ukuthi abesilisa abakhulumi kakhulu.,Kucatshangwa ukuthi abantu abakhulumi kakhulu bazibamba.,
zu,izintombazane azifundi izibalo,izingane azifundi izibalo,,gender|education,phrase,general,general,replace,stereotype,education,explicit,,,,,,,,Izintombazane azifundi izibalo njengezinsizwa.,Izingane azifundi izibalo ngaphandle kwesifundo esifanele.,
zu,abesilisa baqonda kangcono esikoleni,abantu baqonda kangcono esikoleni,,gender|education,phrase,general,general,replace,stereotype,education,explicit,,,,,,,,Ngokwezifundo abesilisa baqonda kangcono esikoleni.,Ngokwezifundo abantu baqonda kangcono esikoleni ngemfundo efanele.,
zu,izintombazane azifanele ukufunda,izingane azifanele ukufunda,,gender|education,phrase,general,general,replace,stereotype,education,explicit,,,,,,,,Izintombazane azifanele ukufunda izibalo ezithe xaxa.,Izingane azifanele ukufunda izibalo ezithe xaxa ngaphandle koqeqesho.,\b(isayensi|ubuchwepheshe|izibalo|enjiniyarini)\b
zu,abesifazane abafundi kahle enyuvesi,abantu abafundi kahle enyuvesi,,gender|education,phrase,general,general,replace,stereotype,education,explicit,,,,,,,,Kuvunyelwana ukuthi abesifazane abafundi kahle enyuvesi.,Kuvunyelwana ukuthi abantu abafundi kahle enyuvesi ngaphandle kwesekelo.,
zu,amadoda afanele ukufunda,abantu bafanele ukufunda,,gender|education,phrase,general,general,warn,stereotype,education,explicit,,,,,,,,Amadoda afanele ukufunda enyuvesi kunabesifazane.,Abantu bafanele ukufunda enyuvesi ngokulinganayo.,\b(enyuvesi|ezikoleni|izifundo)\b
zu,umfazi omuhle,umuntu omuhle,,gender|appearance,phrase,general,general,warn,stereotype,appearance,explicit,,,,,,,,Umfazi omuhle nguye owathola isikhundla.,Umuntu omuhle ngobuchwepheshe nguye owathola isikhundla.,
zu,abesifazane babukeka,abantu babukeka,,gender|appearance,phrase,general,general,warn,stereotype,appearance,explicit,,,,,,,,Abesifazane babukeka kahle lapho beqaqa amasiko.,Abantu babukeka kahle lapho beqaqa amasiko.,
zu,umzimba womfazi,umzimba womuntu,,gender|appearance,phrase,general,general,warn,stereotype,appearance,explicit,,,,,,,,Umzimba womfazi awufanele ukubonakala emsebenzini.,Umzimba womuntu awubalulekile kumsebenzi wabo.,
zu,owesifazane omuhle uthola,umuntu oqeqeshelwe uthola,,gender|appearance,phrase,general,general,replace,stereotype,appearance,explicit,,,,,,,,Owesifazane omuhle uthola uqobo lwayo izinto.,Umuntu oqeqeshelwe uthola uqobo lwayo izinto ngezakhono.,
zu,abesifazane abamelwe ukukhuluma,abantu abamelwe ukukhuluma,,gender|religion_culture,phrase,general,general,replace,stereotype,religion_culture,explicit,,,,,,,,Abesifazane abamelwe ukukhuluma eNkonzweni.,Abantu abamelwe ukukhuluma eNkonzweni ngaphandle kwemvume.,\b(inkonzo|umthandazo|ibandla|ithempeli)\b
zu,ngokwamasiko umfazi,ngokwamasiko umuntu,,gender|religion_culture,phrase,general,general,warn,stereotype,religion_culture,explicit,,,,,,,,Ngokwamasiko umfazi kumele ahloniphe indoda.,Ngokwamasiko umuntu kumele ahloniphe omunye.,
zu,amasiko athi umfazi,amasiko athi umuntu,,gender|religion_culture,phrase,general,general,warn,stereotype,religion_culture,explicit,,,,,,,,Amasiko athi umfazi akamele aphambi kwezindoda.,Amasiko athi umuntu kumele ahloniphe abanye ngezindlela ezilingene.,
zu,umfazi kumele ahloniphe,umuntu kumele ahloniphe,,gender|religion_culture,phrase,general,general,replace,stereotype,religion_culture,explicit,,,,,,,,Ngisho nanamuhla umfazi kumele ahloniphe indoda kuwo wonke umuntu.,Ngisho nanamuhla umuntu kumele ahloniphe omunye ngenxa yobuntu.,
zu,abesifazane beze ekhaya,abantu beze ekhaya,,gender|religion_culture,phrase,general,general,replace,stereotype,religion_culture,explicit,,,,,,,,Isiko lathi abesifazane beze ekhaya bapheke.,Isiko lathi abantu bonke beze ekhaya basize.,
zu,umfazi ungumuntu owehlayo,umuntu owehlayo,,gender|proverb_idiom,phrase,general,general,warn,stereotype,daily_life,explicit,,,,,,,,Izindaba zabantu zithi umfazi ungumuntu owehlayo njalo.,Izindaba zabantu zithi umuntu owehlayo kumele asizwe.,
zu,owesifazane uyisithiyo,akekho uyisithiyo,,gender|proverb_idiom,phrase,general,general,replace,stereotype,daily_life,explicit,,,,,,,,Basebesho ukuthi owesifazane uyisithiyo endleleni.,Basebesho ukuthi akekho uyisithiyo uma bekhuthazwa.,
zu,abesifazane bafana nezimpukane,izimpukane,,gender|proverb_idiom,phrase,general,general,replace,stereotype,appearance,explicit,,,,,,,,Isaga sikhona esithi abesifazane bafana nezimpukane.,Isaga sikhona esikhulunywa ngemvelo yezinto.,
zu,ezemidlalo zabesilisa,ezemidlalo,,gender|capability,phrase,general,general,warn,stereotype,capability,explicit,,,,,,,,Ezemidlalo zabesilisa ziyinkulu kulezi zabesifazane.,Ezemidlalo ziyahluka ngobukhulu kwezibukelwayo.,
zu,umfazi ngeke azingele,umuntu angeke azingele,,gender|capability,phrase,general,general,replace,stereotype,capability,explicit,,,,,,,,Esigodini bakholwa ukuthi umfazi ngeke azingele.,Esigodini bakholwa ukuthi umuntu ngeke azingele ngaphandle kwekhono.,
zu,abesifazane bagijima kancane,abantu bagijima kancane,,gender|capability,phrase,general,general,warn,stereotype,capability,explicit,,,,,,,,Kuvunyelwana ukuthi abesifazane bagijima kancane kunabo bonke.,Kuvunyelwana ukuthi abantu bagijima kancane ngenxa yokuntuleka koqeqesho.,
zu,indoda iyamela,umuntu uyamela,,gender|capability,phrase,general,general,warn,stereotype,capability,explicit,,,,,,,,Ezemidlalo zeqembu indoda iyamela.,Ezemidlalo zeqembu umuntu uyamela ngokuqeqeshwa.,
zu,umphathi oyindoda,umphathi,,gender|profession,phrase,general,general,warn,stereotype,profession,explicit,,,,,,,,Umphathi oyindoda waziwa ukuthi usebenza kahle.,Umphathi waziwa ukuthi usebenza kahle.,
zu,ubufakazi babesilisa,ubufakazi,,gender|profession,phrase,general,general,warn,stereotype,profession,explicit,,,,,,,,Ubufakazi babesilisa bunezinhlelo ezibalulekile.,Ubufakazi bunezinhlelo ezibalulekile.,
