language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral
ha,zarafin mata,zarafi,,gender|violence,phrase,general,general,warn,derogation,capability,explicit,,,,,,,,an yi zargin zarafin mata a ofishin,an yi zargin zarafi a ofishin
ha,yarinya mai shekara,matashi mai shekara,,gender|daily_life,phrase,general,general,replace,stereotype,daily_life,explicit,,,,,,,,ake zargin ta yayyanki yarinya mai shekara 17,ake zargin ta yayyanki matashi mai shekara 17
ha,matan da yawa,mutane da yawa,,gender|capability,phrase,general,general,warn,stereotype,capability,implicit,,,,,,,"Headlines counting women specifically (e.g. sports, policy quotas).",mata da yawa ba sa iya jagorantar ofis,mutane da yawa ba sa iya jagorantar ofis
ha,mata ba sa iya,ba sa iya,,gender|capability,phrase,general,general,replace,stereotype,capability,explicit,,,,,,,,wasu sun ce mata ba sa iya shugabanci,wasu sun ce ba sa iya shugabanci
ha,mace ba ta iya,ba ta iya,,gender|capability,phrase,general,general,replace,stereotype,capability,explicit,,,,,,,,an ce mace ba ta iya tuka motar babur,an ce ba ta iya tuka motar babur
ha,namiji mai iko,mutum mai iko,,gender|leadership,phrase,political,formal,warn,stereotype,leadership,implicit,,,,,,,,kawai namiji mai iko zai iya jagorantar,kawai mutum mai iko zai iya jagorantar
ha,namiji kawai,mutum kawai,,gender|leadership,phrase,political,formal,warn,stereotype,leadership,explicit,,,,,,,,sun yarda namiji kawai ya zama shugaba,sun yarda mutum kawai ya zama shugaba
ha,mata kawai,mutane kawai,,gender|leadership,phrase,political,formal,warn,stereotype,leadership,explicit,,,,,,,,sun yarda mata kawai su hau matsayi,sun yarda mutane kawai su hau matsayi
ha,gimbiya,shugabar,,gender|leadership,noun,political,formal,warn,stereotype,leadership,explicit,,,,,,,Official traditional titles in historical or ceremonial reporting.,gimbiya ta jagoranci taron,shugabar ta jagoranci taron
ha,sarauniyar mata,sarauniya,,gender|leadership,phrase,political,formal,warn,stereotype,leadership,implicit,,,,,,,,Rahma zan maida ke sarauniyar mata,Rahma zan maida ke sarauniya
ha,matan gida,masu gida,,gender|family_role,phrase,domestic,general,warn,stereotype,family_role,implicit,,,,,,,,duk matan gida su daina fita,duk masu gida su daina fita
ha,mata marasa tsarki,masu zaman lafiya,,gender|religion_culture,phrase,general,formal,warn,stereotype,religion_culture,explicit,,,,,,,Direct quotation of fiqh text; requires human review.,an ce mata marasa tsarki ba za su yi sallah ba,an ce masu zaman lafiya ba za su yi sallah ba
ha,mahajjata mata,mahajjata,,gender|religion_culture,phrase,general,formal,warn,stereotype,religion_culture,explicit,,,,,,,,hukumar ta dawo da mahajjata mata masu tarin yawa,hukumar ta dawo da mahajjata masu tarin yawa
ha,mace mai cutar,mai cutar,,gender|health,phrase,healthcare,formal,warn,neutral,daily_life,explicit,,,,,,,Epidemiological text explicitly sex-stratified.,Kalubalen rayuwa da mace mai cutar sikila,Kalubalen rayuwa da mai cutar sikila
ha,mace mai juna-biyu,mai juna-biyu,,gender|health,phrase,healthcare,formal,replace,stereotype,religion_culture,explicit,,,,,,,,Mace mai Juna-biyu: Lallekan akwai maganar wahala,Mai Juna-biyu: Lallekan akwai maganar wahala
ha,mata da yawa,mutane da yawa,,gender|capability,phrase,general,general,warn,stereotype,capability,implicit,,,,,,,,Me ya sa mata da yawa ba sa shiga harkokin siyasa,Me ya sa mutane da yawa ba sa shiga harkokin siyasa
ha,mata masu juna biyu,masu juna biyu,,gender|health,phrase,healthcare,formal,warn,stereotype,religion_culture,explicit,,,,,,,Clinical cohort explicitly defined as pregnant women.,Galibin mata masu juna biyu basa al'ada,Galibin masu juna biyu basa al'ada
ha,matan Najeriya,mutanen Najeriya,,gender|capability,phrase,general,formal,warn,stereotype,capability,implicit,,,,,,,Survey or policy text that must report women separately.,matan Najeriya na kokarin gogewa da maza a wuraren aiki,mutanen Najeriya na kokarin gogewa a wuraren aiki
ha,mata suna da rashin,mutane suna da rashin,,gender|capability,phrase,general,general,warn,stereotype,capability,implicit,,,,,,,Narrows phrase so yan mata suna da … does not substring-match.,an ce mata suna da rashin juriya a siyasa,an ce mutane suna da rashin juriya a siyasa
ha,maza kawai,mutane kawai,,gender|leadership,phrase,political,formal,warn,stereotype,leadership,explicit,,,,,,,,sun yarda maza kawai su jagoranci kwamitin,sun yarda mutane kawai su jagoranci kwamitin
ha,namiji ne kawai,mutum ne kawai,,gender|leadership,phrase,political,formal,warn,stereotype,leadership,explicit,,,,,,,,an ce namiji ne kawai zai iya tsayawa takarar,an ce mutum ne kawai zai iya tsayawa takarar
ha,mijin gida,mai gida,,gender|family_role,phrase,domestic,general,warn,stereotype,family_role,implicit,,,,,,,,kawai mijin gida zai yanke shawara,kawai mai gida zai yanke shawara
ha,matar aure,matar,,gender|family_role,phrase,domestic,general,warn,neutral,family_role,explicit,,,,,,,Legal forms requiring 'matar aure' explicitly.,an sa ran matar aure ta daina aiki,an sa ran matar ta daina aiki
ha,namijin gida,mai gida,,gender|family_role,phrase,domestic,general,warn,stereotype,family_role,implicit,,,,,,,,namijin gida ne ke da ikon yin duk wani biyan kuɗi,mai gida ne ke da ikon yin duk wani biyan kuɗi
ha,yarinya,matashi,,gender|daily_life,noun,general,general,warn,stereotype,daily_life,explicit,,,,,,,Neutral age reference in education or health contexts.,an zargi yarinya da rashin tarbiyya,an zargi matashi da rashin tarbiyya
ha,namiji,mutum,,gender|daily_life,noun,general,general,warn,neutral,daily_life,explicit,,,,,,,"Biographical sex specification (sports, medicine).",wanna gida shi ne namiji kawai zai iya,wanna gida shi ne mutum kawai zai iya
