ngram,count,example
kana mũtumia,17,"Maũhoro ma IAAF nĩ mauga mawatho mau,matire na ũthigati wa gũcirĩra kana kũhũnga mahũrĩ mũhĩrĩga wa mũndũrũme kana mũtumia wa mũtengeri ũcio."
anene ao kwaga kũhikia atumia,17,Tarĩki ikũmi na ithano   mweri wa mbere  mwaka wa ngiri igĩrĩ na ikũmi na ĩmwe gĩkundi gĩa Taliban nĩgĩathĩte  anene ao kwaga kũhikia atumia aingĩ.
mũtumia wa mbere,16,Web tiwe mũtumia wa mbere kũruta wĩra ena mwana.
mũthuri na mũtumia,16,Maugire mauma erĩ mũthuri na mũtumia
atumia marĩ na,16,Ũtumĩri wa njĩra cia kũĩgirĩrĩria harĩ atumia marĩ na ihu
nyina na mwana,16,"Trindade aarĩ mũndũ wa kawaida, mũrũtwo, nyina na mwana"
arũme a,15,Kamĩtĩ ya acoki a arũme kana atumia a arũme kana arũme a arũme kana airĩtu a arũme kana airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu.
wa arũme na atumia,15,Kũgĩa na ũrũmwe na wendi wa gĩũteti wa kũnyita mbaru mũbango wa gĩthomo ũtarĩ na mũthutũkanio wa arũme na atumia
mũtumia wake nĩ,15,"O na kũrĩ ũguo, andũ amwe nĩ maroiga atĩ mũtumia wake nĩ mũriũ wa Charlo Mũhute, ũrĩa warĩ mwandĩki wa gĩkundi kĩrĩa kĩarĩ thirikari-inĩ."
mũtumia na,15,Nĩ ũrigitani wa matumbĩ ma mũtumia na mbegũ cia mũthuri.
a nyina,15,Nekesa oigaga atĩ mũgũnda ũcio nĩ wake na atĩ nyina na ariũ a nyina erĩ nĩ maathikirũo ho.
atumia harĩ,15,ũgacĩĩru wa atumia harĩ ũteti nĩ wongererekete.
atĩ atumia,15,Aongereire atĩ atumia nĩ marathutũkanio harĩ mbeca cia ngari iria aruti wĩra a thirikari angĩ magunĩkaga nacio kũringana na mĩbango ĩrĩa ĩkoragwo kuo.
ũciari cia mũtumia,15,Maũndu ma ũgwati ma kanca ya ciĩga cia ũciari cia mũtumia nĩ ta :gũkoruo na vulvar intraepithelial neoplasia (VIN) 
cia ũciari cia mũtumia,15,Maũndu ma ũgwati ma kanca ya ciĩga cia ũciari cia mũtumia nĩ ta :gũkoruo na vulvar intraepithelial neoplasia (VIN) 
ciĩga cia ũciari cia mũtumia,15,Maũndu ma ũgwati ma kanca ya ciĩga cia ũciari cia mũtumia nĩ ta :gũkoruo na vulvar intraepithelial neoplasia (VIN) 
mwanake wa,14,Kamau: ota mũthaki maradona mwanake wa bũrũri wa Kenya nĩabũnga mbao ya kũgegania
na atumia arĩa,14,"Ngerekano nĩ arwaru arĩa makomete thibitarĩ, andũ arĩa marĩ njera-inĩ cia borithi, agendi, ageni mĩkawa-inĩ, kana ohwo korokoro-inĩ , arĩa makomaga nja, na atumia arĩa matũraga ta atungati."
harĩ atumia arĩa,14,"Harĩ atumia arĩa mahikĩte, njĩra iria matũmagĩra mũno nĩ gũĩtheca na gũtũmĩra dawa"
mũthuri kana,14,"Oũrĩa mahinda mathiaga , ũtũmĩri wa macini nĩũtiganĩte na maũndũ ma mũthuri kana mũtumia na kũonekanĩte atĩ macini mũndũ wothe nĩaramĩhuthĩra"
mũkana ũhũthĩri,14,"Mũthenya  wa ikũmi na ithano mweri-inĩ wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrĩrĩre mũkana ũhũthĩri wa ng'enda cia muingĩ"
mũkana ũhũthĩri wa,14,"Mũthenya  wa ikũmi na ithano mweri-inĩ wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrĩrĩre mũkana ũhũthĩri wa ng'enda cia muingĩ"
atumia na airĩtu,14,Atumia na airĩtu nĩmagĩrĩirwo kũgitĩrwo nĩ thirikari
na mwanake,14,Lionel Messi gũtũngana na mwanake wĩhumbĩte nguo ithondeketwo na karatathi bũrũriinĩ wa Afghanistan
gĩcunjĩ kĩa atumia,13,"Gĩcunjĩ kĩa atumia arĩa mahũthagĩra njĩra cia kĩĩrĩu nĩ nini Mandera ĩgacokwo nĩ Wajir,Marsabit, Garissa nayo Embu ĩgĩtongoria"
mwanake ũmwe,13,Mwanake ũmwe wa mĩaka 20 akĩbatithio bũrũri-inĩ wa Ghana
mwanake ũcio nĩ,13,Mwanake ũcio nĩ mũthaki wa mũbira
kwa atumia,13,(FGM) Kũruithio kwa Atumia (JFA) Ũrũmwe wa Ngwatanĩro
kĩa arũme,13,"Abithaa wa rũhonge rwa ũtuĩria wa kĩrũrũngano kĩa arũme na atumia, athomi a ũtuĩria wa ũmenyo na ũrutani thĩinĩ wa ngwatanĩro itarĩ cia thirikari (NGO) na athomi a thirikari cia county."
mũtumia wake wa,13,Thomas Thabane: Mũtabania wa tene wa Lesotho 'aarĩhire njũru cia mbaara kũũraga mũtumia wake wa tene'
ya arũme,13,"Kũrĩ icigo iria ikoragwo na ũgucania mũnene wa arũme na atumia, mĩcemanio ya mwanya ya ithomo kana mĩbango ngũrani ya gũikara ya arũme na atumia nĩ yagĩrĩirũo kũrũmagĩrĩrũo."
mũkana wa,12,Mũtongoria wa bũrũri Mũceveni  gwĩkĩra mũkana wa kũũrũra.
no atumia,12,Ndariri nene nĩ maĩ maranunga ũru kuma ciĩga cia thiri no atumia amwe matikoragwo na ndariri.
mũndũrũme ũmwe,12,Atumia arĩa mĩrĩ yao ĩhĩngĩcanĩte nĩmakĩrĩte arũme na atũmia kenda kwa mũndũrũme ũmwe 
atumia ao,12,Kwĩna ũndũire wĩtĩkĩrĩtie arũme kũhũra atumia ao
atumia na athuri,11,"Ũngania ndũmĩrĩri ya mũkũrĩre wa ciana, atumia na athuri"
mwana na nyina,11,Heana cionereria cia kuonania ũgima wa  mwĩrĩ wa mwana na nyina
atumia a ndigwa,11,Macũngĩrĩrio ma mbara cia kĩũteti nĩ gũkorwo na atumia a ndigwa
mũthuri ũmwe,11,Mũthuri ũmwe kũũragwo nĩ mbathi thĩinĩ wa Israel
kwa arũme,11,Andũ arĩa mareganaga na watho wa gwĩtĩkĩria ngomanio cia arũme kwa arũme na andũ a ndũrĩrĩ ingĩ thĩinĩ wa Taiwan
nyina wao,11,"Korũo nĩwe nyina wao, ũngĩka o ũguo?"
arũme nĩ,11,Arũme nĩ makoragwo na mũigana mũnene wa kũrũara mũrimũ wa ngoro gũkĩra atumia. 
gũkĩra atumia,11,Arũme nĩ makoragwo na mũigana mũnene wa kũrũara mũrimũ wa ngoro gũkĩra atumia. 
atumia othe,11,ICP ĩkoragwo na kĩndũ gĩcunjĩ kĩmwe harĩ igana kĩa atumia othe arĩa marĩ nda thĩinĩ wa bũrũri ũcio.
mũtumia ũcio nĩ,11,mũtumia ũcio nĩ mũĩtigĩri Ngai.
ekĩrirĩre mũkana,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
waguo ekĩrirĩre mũkana,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
ekĩrirĩre mũkana ũhũthĩri,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
mũtongoria waguo ekĩrirĩre mũkana,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
waguo ekĩrirĩre mũkana ũhũthĩri,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
ekĩrirĩre mũkana ũhũthĩri wa,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
mũkana ũhũthĩri wa nenda,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
ũrĩa mũtongoria waguo ekĩrirĩre mũkana,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
waguo ekĩrirĩre mũkana ũhũthĩri wa,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
ekĩrirĩre mũkana ũhũthĩri wa nenda,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
mũkana ũhũthĩri wa nenda cia,11,"Tarĩki ikũmi na ithano mweri wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ĩmwe, bũrũri-inĩ ũrĩa mũtongoria waguo ekĩrirĩre mũkana ũhũthĩri wa nenda cia mũingĩ"
cia atumia nĩ,10,"Kũringana na ũrĩa maũndũ matariĩ, ikundi iria irũagĩrĩra ihooto cia atumia nĩ ciagathĩrĩirio na igateithĩrĩrio nĩ andũ arĩa arĩa maacokirie ciũria ciao, na igĩkĩrĩrũo atĩ no itungatĩre harĩ kũheana ũira na gũcokanĩrĩria ũhoro."
atumia acio,10,Nĩ kwarĩ na mũtumia rũhongeinĩ  rwa ũgima mwega wa mwĩrĩ ũrĩa watũteithagia gũcaria atumia acio.
atumia amwe,10,Ndariri nene nĩ maĩ maranunga ũru kuma ciĩga cia thiri no atumia amwe matikoragwo na ndariri.
nĩ mũtumia wa,10,Ngina nĩ mũtumia wa Kenyatta.
atumia arĩa matarĩ,10,Gĩcunjĩ kĩa atumia arĩa matarĩ na nda na matiĩthecete na marĩ na uhoti wa kuoha nda
atumia nĩo,10,Atumia nĩo marĩ aingĩ harĩ andũ arĩa makomete thibitarĩ o-tiga ciana cia ngenge nginya mĩaka ikũmi na inya
rĩrĩa mũtumia,10,Nyũngũ ya mwana nĩ handũ harĩa mwana akũragĩra rĩrĩa mũtumia arĩ na nda. 
mũkaana atĩ,10,"Ngwatanĩro ya rũrĩrĩ rwa Kenya Nairobi, nĩ ĩheanĩte mũkaana atĩ ""andũ agũkĩrĩrĩria kuuma Somalia"" nĩ marabanga gũtharĩkĩra Kenya na Ethiopia na mbomu cia kwĩyũraga."
ka arũme,10,Ũigananĩru gatagatĩ ka arũme na atumia ũratũma atumia na arũme manyitanĩre makĩria maũndũ-inĩ ma itũũra.
nyina wa ciana,10,Nyina wa ciana nyingĩ atũmagĩra mahinda maingĩ kũmarugĩra
nĩ mwanake,10,mwana wake nĩ mwanake
atĩ mũthuri,10,"O na kũrĩ ũguo, maũndũ ta macio matingĩkwo thĩinĩ wa ihiko iria cionanagia atĩ mũthuri na mũtumia nĩ a kwendana."
arũme kwa,10,Andũ arĩa mareganaga na watho wa gwĩtĩkĩria ngomanio cia arũme kwa arũme na andũ a ndũrĩrĩ ingĩ thĩinĩ wa Taiwan
arũme kwa arũme,10,Andũ arĩa mareganaga na watho wa gwĩtĩkĩria ngomanio cia arũme kwa arũme na andũ a ndũrĩrĩ ingĩ thĩinĩ wa Taiwan
wa nyina nĩ,10,"Ithe na mwarĩ wa nyina nĩ maraugire matigĩkua ngoro,mena mwĩhoko nĩ egũcoka"
mwanake ũrĩa,10,Mwanake ũrĩa nĩ ahaanaine na ithe.
athani ao kwaga kũhikia atumia,10,"Tariki ikũmi na ithano mweri-inĩ wa Mũgaa mwaka wa ngiri igĩrĩ na mĩrongo ĩrĩ na ũmwe, Taliban nĩmathĩte athani ao kwaga kũhikia atumia aingĩ"
mũkaana wa,10,"Mũthuri Kuria, Cibũ wa gĩcigo gĩkĩ nĩ araheire aikari a bũrũri mũkaana wa mbura ĩno ĩrathiĩ nambere kuura na moimĩrira mayũ."
atumia a mĩaka,9,Gĩcunjĩ gĩa ikũmi na ithano harĩ igana kĩa atumia a mĩaka ikũmi na ĩtano nginyagia ikũmi na kenda managĩa nda
gĩcunjĩ kĩa atumia arĩa,9,"Gĩcunjĩ kĩa atumia arĩa mahũthagĩra njĩra cia kĩĩrĩu nĩ nini Mandera ĩgacokwo nĩ Wajir,Marsabit, Garissa nayo Embu ĩgĩtongoria"
ma mũtumia,9,Nĩ ũrigitani wa matumbĩ ma mũtumia na mbegũ cia mũthuri.
cia mũthuri,9,Nĩ ũrigitani wa matumbĩ ma mũtumia na mbegũ cia mũthuri.
ũrĩa mũthuri,9,mũthenya ũrĩa mũthuri wakwa aciarirwo nĩ rĩ mwaka ũyũ 
na arũme arĩa,9,Bũrũri wa Indonesia nĩ ũkoretwo na ũhinyanĩrĩria mũingĩ kwerekera arũme arĩa makomaga na arũme arĩa angĩ na arũme arĩa makomaga na arũme arĩa angĩ.
arũme arĩa angĩ,9,Bũrũri wa Indonesia nĩ ũkoretwo na ũhinyanĩrĩria mũingĩ kwerekera arũme arĩa makomaga na arũme arĩa angĩ na arũme arĩa makomaga na arũme arĩa angĩ.
na atumia aingĩ,9,Athũri na Atumia aingĩ arĩa maheanĩte ndigano nĩmacokanagĩra.
na mũtumia wakwa,9,"Thutha wa kũrĩkia, tũgĩtũmwo Nairobi tũrĩ na mũtumia wakwa."
atumia aria,9,Atumia aria makoraguo akuhi: Ariah mahicaga gari cia bara nimerutagira kũinamirira ngari-ini cia bara Kenya.
mwarĩ wa nyina na,9,mwanake ũmwe wa mĩaka ikũmi na inya nĩ gũteretha  na kũnyita aarĩ a nyina erĩ hanwe na endwa acio erĩ na mwarĩ wa nyina na mũhikania
mũtumia ũyũ,9,"No tũririe mũtumia ũyũ  Sarah Macharia, kũma ngathĩti na ibuku rĩa Godey ya mwaka wa ngiri ĩmwe na magana manana ma mĩrongo ĩtandatũ"
wa maitu,9,Mũrũ wa maitu ndarĩ na mahĩtia na igoti nĩ rĩkũamura ũguo
