id,original_text,corrected_text,stereotype_category,explicitness,domain,source,qa_status,review_notes
HA-NG-FB0A1813,"Tabbas, an san mata da son tsafta da tsari, don haka ba abin mamaki ba ne yadda take rike da takardun nata a cikin wata jaka mai kyau, sabanin yadda maza ke yasar da nasu ko'ina.","Tabbas, an san mutane da son tsafta da tsari, don haka ba abin mamaki ba ne yadda take rike da takardun sa a cikin wata jaka mai kyau.",appearance,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-58E767D9,Ita kanta Hajiya Amina tana matukar jin dadin aikinta.,Hajiya Amina tana matukar jin dadin aikinta.,emotion,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-35A9684E,"Hankalinta bai kai na namiji ba, kuma karfinta bai kai na namiji ba, don haka bai kamata a bar ta ta shiga hurumin da ba nata ba.","Ita bai da karfi da hankali da aka buƙata ba, don haka bai kamata a bar ta ta shiga wannan hurumintaccen aiki ba.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-8772EFB2,"Sauran ma’aikatan, musamman maza, suna yaba mata saboda sun san cewa su ba za su iya samun irin wannan hakurin da take da shi ba.",Sauran ma'aikatan suna yaba mata saboda sun san cewa ba daidai ba ne su karkata a cikin irin wannan hakin da take da shi.,capability,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-985F745A,"Wata matashiyar ma'aikaciyar jinya mai suna Aisha, wacce ke koyon aiki a karkashinta, ta kan kalle ta cike da sha'awa, tana mai cewa ita ma burinta a rayuwa shi ne ta zama kamar Hajiya Zainab wata rana.","Wata ma'aikaciyar jiya mai suna Aisha, wacce ke koyon aiki a karkashinta, ta kan kalle ta cike da sha'awa, tana mai cewa burinta a rayuwa shi ne ta zama babbar ma'aikaciya a jinyarta wata rana.",family_role,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-0E48E0BC,Ina mata jaje.,Ina mutum jaje.,profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-3DE87424,"Wannan halayya ta kulawa da tausayi abu ne da ya fi ƙarfin yawancin maza, waɗanda hankalinsu ya fi karkata ga neman kuɗi.","Wannan halayya ta kulawa da tausayi abu ne da ya fi ƙarfin yawancin jama'a, waɗanda hankalinsu ya fi karkata ga neman kuɗi.",emotion,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-72F432A7,"Idan za a ba ni dama, ina ganin zan iya taimakawa wajen daidaita wasu abubuwa.' Da farko, Alhaji Balarabe ya yi jinkirin amincewa, yana tunanin me yarinya karama kamar Zainab za ta iya yi wanda manyan ma'aikata maza suka kasa?","Idan za a ba ni dama, ina ganin zan iya taimakawa wajen daidaita wasu abubuwa. Da farko, Alhaji Balarabe ya yi jinkirin amincewa, yana tunanin me wata mai karami kamar Zainab za ta iya yi wanda manyan ma'aikata suka kasa?",appearance,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-5FB0C45A,"A babban ofishin nan na kamfanin gine-gine na 'Arewa Constructions' da ke Kano, Adama ita ce mace daya tilo a sashen injiniyoyin gine-gine.","A babban ofishin nan na kamfanin gine-gine na 'Arewa Constructions' da ke Kano, Adama ita ce ɗaya daga cikin injiniyoyin gine-gine.",profession,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-17C893A6,"Yayin da injiniyoyan suka ci gaba da aiki dare da rana don gyara matsalar, rawar da Amina ta taka ta koma ta tabbatar da an kawo musu abinci mai dadi, an tanadar musu da abin sha, kuma an saita musu ofis don su ji kamar suna gida.","Yayin da injiniyoyan suka ci gaba da aiki dare da rana don gyara matsalar, Amina da sauran ma'aikatan jikin gida suka taba rawar gida da tabbatar da an kawo musu abinci mai dadi, an tanadar musu da abin sha, kuma an saita musu ofis don su ji kamar suna gida.",profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-8C13461C,Shin ba za su raina ta ba idan ta zo da maganar lallami da tausasawa?,Shin ba za su raina ta ba idan ta zo da maganar gaskiya da tausasawa?,character,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-E7340981,"An ajiye takardun Hadiza a gefe, ba don ba ta cancanta ba, a'a, sai don kawai ita mace ce.","An ajiye takardun Hadiza a gefe, ba don ba ta cancanta ba, a'a, sai don kawai ita ba ta da cancani.",appearance,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-8F7A5AB7,"Da farko, ki fahimci cewa wurin aiki ba wuri ne na nuna bajinta ko gasa da kowa ba, musamman idan kina mace.","Da farko, ki fahimci cewa wurin aiki ba wuri ne na nuna bajinta ko gasa da kowa ba, musamman idan kina ma'aikaci.",profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-1CF15B0E,"Ko da ta ce ba laifinta bane, Inuwa ya kalle ta ya girgiza kai, ya ce, 'Na san haka za ta faru.","Ko da ta ce ba laifinta bane, Inuwa ya kalle ta ya girgiza kai, ya ce, 'Na san haka za ya faru.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,needs_review,no word-level changes
HA-NG-E59CB41F,"Yayin da kike neman ci gaba, ki tuna da nauyin da ke kanki na gida da iyali.","Yayin da kike neman ci gaba, ki tuna da daidaitawar tsakanin aiki da sauran bukatun rayuwa.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-6B371158,"Wannan ba wurin mata bane.” Adama ta karbi takardar, idanunta sun ciko da kwalla.","Wannan ba wurin wani mutum bane."" Adama ta karbi takardar, idanunta sun ciko da kwalla.",capability,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-AD11A8C3,"Ita ce ginshikin da za ta riƙe komai a ciki, yayin da maza za su yi ginin da ake gani a waje.","Jiya ce mai-riƙon da za ta riƙe komai a ciki, yayin da sauran jiya za su yi ginin da ake gani a waje.",profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-64CF9C28,"Maza sukan ci gaba da tattaunawarsu cikin sabon kuzari, suna masu godiya ga hangen nesanta.","Mutane sukan ci gaba da tattaunawarsu cikin sabon kuzari, suna masu godiya ga hangen nesanta.",profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-14EE3572,Ai an ce kifi a ruwa sarki ne.” Wannan karin maganar ta soki Zainab kamar mashi.,Ai an ce kifi a ruwa babbar gida ne. Wannan karin maganar ta soki Zainab kamar mashi.,leadership,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-33321BEB,Tana da wata baiwa ta musamman ta fahimtar yanayin mutum da sanin abin da ke damunsa koda bai furta ba.,Yana da wata baiwa ta musamman ta fahimtar yanayin mutum da sanin abin da ke damunsa koda bai furta ba.,profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-4A7FEA0F,"Ta rubuta bayani dalla-dalla ta kai wa shugaban sashen injiniyoyi, Mista Emeka.",Ta rubuta bayani dalla-dalla ta kai wa shugaban sashen injiniyoyi.,leadership,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-4FA70053,"Kowa ya san cewa ba tare da ita ba, da tuni jirgin kamfanin ya karkace.","Kowa ya san cewa ba tare da su ba, da tuni jirgin kamfanin ya karkace.",profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-2A4A87C9,"Wajen zabar irin aikin da za ki yi, ki karkata zuwa bangarorin da suka dace da halittarki ta tausayi da kulawa.","Wajen zabar irin aikin da za ka yi, ka karkata zuwa bangarorin da suka dace da ƙwarewarki da kukacinki.",family_role,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-79B415FC,"'Kin san fa wannan aikin yana bukatar zama a kasuwar Bompai har dare, da kuma yin mu'amala da direbobi masu taurin kai.","'Kin san fa wannan aikin yana bukatar zama a kasuwar Bompai har dare, da kuma yin mu'amala da mai-aiki masu taurin kai.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-7B27CCC4,"Mallam Garba, mai kula da aikin, yakan ce, “Zainab, wannan aikin wahala ne, bai dace da ke ba.","Mallam Garba, mai kula da aikin, yakan ce, ""Zainab, wannan aikin wahala ne, amma kuna iya yin shi.""",profession,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-7BFFDB6C,"Aikin da ke ba ki damar komawa gida da wuri, kuma ba ya sanya ki gajiya sosai, shi ne ya fi dacewa da ke.","Aikin da ke ba ki damar komawa gida da wuri, kuma ba ya sanya ki gajiya sosai, shi ne ya fi dacewa.",profession,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-271A4CC3,Ba a ce aure shi ne babban burin kowace mace ba?,Jiya ba a ce aure ne babban buri ga kowa ba?,family_role,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-A35E71D9,Wannan aikin ya fi karfinki.,Wannan aiki ya bugi ka.,capability,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-DC39A47A,"Tun daga ranar da Zainab ta fara aiki a babban kamfanin gine-ginen nan na ‘Kano Constructors’, kowa a ofis din ya cika da mamaki.","Tun daga ranar da Zainab ta fara aiki a babban kamfanin gine-ginen nan na 'Kano Constructors', kowa a ofis din ya cika da mamaki don niyyar girka da karfinsa.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-5A1AA00E,Ai sai su raina ta.,Ai sai su raina shi.,profession,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-8192C718,"Malam Garba ya karbe da cewa, 'Ke dai Zainab, ki bar wa mazaje aikinsu.","Malam Garba ya karbe da cewa, 'Kowa, bar wa jama'a su aiki da kyawu.'",profession,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-CD0F1762,"Wannan shi ne abin da ake kira tsari da kwarewa a wurin aiki, inda kowa ke yin abin da ya fi dacewa da shi bisa dabi'ar halittarsa.","Wannan shi ne abin da ake kira tsari da kwarewa a wurin aiki, inda kowa ke yin abin da ya fi dacewa da shi bisa ƙwarewar sa da ilimin sa.",character,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-ED8E7363,"Su ne koguna masu sanyin tafiya a cikin ofis, yayin da maza su ne duwatsu masu karko da ke tsara yanayin wurin.","Su ne koguna masu sanyin tafiya a cikin ofis, kamar hadde masu karko da ke tsara yanayin wurin.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-ABBD0C63,"Da muryarta mai sanyi da kuma iya sarrafa magana, take warware komai cikin lumana ba tare da an kai ga hayaniya ba.","Da muryarta mai sanyi da kuma iya sarrafa magana, ta warware komai cikin lumana ba tare da an kai ga hayaniya ba.",profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-275B9E2A,"An san mata da tsafta da iya tsari, kuma wannan aikin zai ba ta damar yin amfani da wadannan kwarewar tata ba tare da fuskantar matsin lamba ba.","Wannan aikin zai ba mutum damar yin amfani da wadannan kwarewar, kuma zai ba damar yin tsari tare da gajiya ba.",capability,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-63D23033,Gwanintarki wajen tsara abubuwa ba ta da na biyu.” Daga nan sai ya juya ga sauran ma'aikatan.,Gwanintarki wajen tsara abubuwa ba ta da na biyu. Daga nan sai suka juya ga sauran ma'aikatan.,family_role,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-E0150CDD,"Kwarewarta ba ta fito a cikin lambobi ko jadawalin riba ba, a'a, tana fitowa ne a cikin murmushin ma'aikata da kwanciyar hankalin da ke mamaye wurin.","Kwarewarta ba ta fito a cikin lambobi ko jadawalin riba ba, a'a, tana fitowa ne a cikin murmushin mutanen aiki da kwanciyar hankalin da ke mamaye wurin.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-BC860F5C,"A zauren taron kamfanin gine-gine na 'Kano Builders,' hayaniya ta kaure yayin da sunan Halima ya fito a matsayin wacce za a iya ba mukamin manajan ayyuka.","A zauren taron kamfanin gine-gine na 'Kano Builders,' hayaniya ta kaure yayin da sunan Halima ya fito a matsayin wacce za a iya ba mukamin manajan ayyuka.

Corrected version:

A zauren taron kamfanin gine-gine na 'Kano Builders,' hayaniya ta kaure yayin da sunan Halima ya fito a matsayin wacce za a iya ba mukamin manajan ayyuka bisa gida.",appearance,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-D9358C2D,Kamar kana kallon yarinya ce da ta sa kayan mahaifinta tana wasa; abin sha'awa ne amma ba abin da za a dauka da muhimmanci ba.,Kamar kana kallon yaron ce da ya sa kayan mahaifin shi tana wasa; abin sha'awa ne amma ba abin da za a dauka da muhimmanci ba.,family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-0AE2E005,"Ita ce ke yin sulhu idan kananan ma'aikata biyu sun samu sabani, tana taimaka musu su daidaita da shawarwarinta masu kama da na uwa.","Sai shi ke yin sulhu idan kananan ma'aikata biyu sun samu sabani, yana taimaka musu su daidaita da shawarwarinta masu kyau.",appearance,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-A45367C5,"A ofishinmu da ke nan babban birnin Kano, akwai wata baiwar Allah mai suna Hajiya Amina, wadda take aiki a sashenmu na kula da harkokin ma'aikata.","A ofishinmu da ke nan babban birnin Kano, akwai mai suna Hajiya Amina, wanda/wadda take aiki a sashenmu na kula da harkokin ma'aikata.",profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-E6BB6EBF,“Dole Halima ce za ta jagoranci kwamitin shirin biki!” wani babban manaja ya fada da karfi.,"""Dole Halima ce za ta jagoranci kwamitin shirin biki!"" wani babban manaja ya fada da karfi.",leadership,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-33DC54C4,"Ya kamata ki yi tunanin canja sashe zuwa wurin da za ki fi haskawa, inda za ki yi amfani da baiwarki ta hakika.","Ya kamata ka yi tunanin canja sashe zuwa wurin da za ka fi haskawa, inda za ka yi amfani da baiwarki ta hakika.",appearance,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-D2778D1E,"Taron tantance aiki na kwata-kwata ya zama kamar ba na auna aiki ba ne, a'a, ya fi kama da wani aikin dashe na tattali a hankali.","Taron tantance aiki na kwata-kwata ya zama kamar ba na auna aiki ba ne, a'a, ya fi kama da wani aikin da ake bukata tunani mai zurfi.",capability,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-CA4A54AC,"“Lallai Zainab, kin yi abin da ya fi karfin maza da yawa.","""Lallai Zainab, kin yi abin da ya fi karfin mutane da yawa.""",capability,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-E23F2312,"A wannan tsarin, maza sune manyan ginshiƙan da suka ɗauki nauyin riƙe kamfanin gaba ɗaya.","A wannan tsarin, duk mutane sune manyan ginshiƙan da suka ɗauki nauyin riƙe kamfanin gaba ɗaya.",profession,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-6DF5B777,"Kar ki damu da wahalar can waje, aikinmu ne mu maza.' A wani taro mai muhimmanci da ake tattaunawa kan wani sabon aikin gada, Zainab ta ba da shawarar yadda za a iya rage kudin siminti ta hanyar amfani da wata sabuwar fasaha da ta koya.","Kar ki damu da wahalar can waje, aikinmu ne mu duka.' A wani taro mai muhimmanci da ake tattaunawa kan wani sabon aikin gada, Zainab ta ba da shawarar yadda za a iya rage kudin siminti ta hanyar amfani da wata sabuwar fasaha da ta koya.",family_role,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-5AEB2167,"Wannan aikin ya dace da ita matuka, domin an san mata da tsafta da iya tsari, kuma Zainab ta zama zakaran gwajin dafi a wannan fannin.","Wannan aikin ya dace da ita, domin tana da ƙwarewar tsafta da tsari, kuma Zainab ta zama kwamandan gwajin dafi a wannan fannin.",leadership,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-55075204,"Lokacin da ma'aikaciya kamar Bilkisu ta yi aure, ka fara sa ran aikinta zai fara ja da baya saboda tunaninta zai koma kan gidan mijinta.","Lokacin da ma'aikaciya kamar Bilkisu ta yi aure, tana ci gaba da aiki cikin karfi saboda ta dace da daidaitawa tsakanin aiki da iyali.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-7D8DB1BC,"Lokacin da aka ba ta dama, Zainab ta gabatar da cikakken tsarinta cike da himma da kwarewa.","Lokacin da aka ba shi dama, Zainab ta gabatar da cikakken tsarinta cike da himma da kwarewa.",capability,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-AAC2538D,"Shin ba za a ce ta fi son zama a ofis mai sanyin AC tana ba da umarni daga nesa ba, maimakon shiga cikin ma'aikata a kasa tana aiki tare da su?","Shin ba za a ce shi/ta fi son zama a ofis mai sanyin AC tana ba da umarni daga nesa ba, maimakon shiga cikin ma'aikata a kasa tana aiki tare da su?",daily_life,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-5D07D242,"Wannan shi ne aikin da ya dace da mace, ba wai ki rinka haurawa da sauka a kan benaye ba.” Ya ci gaba da cewa, “Ke mace ce maiji da kyau, bai kamata ki bata jikinki a cikin laka da siminti ba.","Wannan shi ne aikin da dace da kowa, mai karfi da cuska. Ya ci gaba da cewa, ""Kowa zai iya yin wannan aiki idan suna da karfi da ƙwarewa.""",appearance,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-D5BBCC59,"Tabbas, mace abar alfahari ce, tana da nata fagen da babu namiji da zai iya shiga ya yi abin da za ta yi.","Tabbas, alfahari ce mai karfin ilimi da sana'a, tana da nata fagen da babu wani da zai iya shiga ya yi abin da za ta yi.",family_role,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-89400BA4,"Bayan wani lokaci, ta fito duk ta baci da kura, muryarta a shake tana kokarin ba da umarni.","Bayan wani lokaci, ya fito duk ya baci da kura, muryarsa a shake yana kokarin ba da umarni.",profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-19C6EF36,"Me zai sa mace ta bar aiki mai daraja kamar renon yara da kula da iyali, ta shiga wannan fage?","Me zai sa kowa ta bar aiki mai daraja kamar renon yara da kula da iyali, ta shiga wannan fage?",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-2A9F0360,"A babban ofishin nan na kamfanin sadarwa da ke unguwar Nassarawa a Kano, Adama ta kasance kamar uwar gida wacce take kula da komai.","A babban ofishin nan na kamfanin sadarwa da ke unguwar Nassarawa a Kano, Adama ta kasance kamar mai kula da komai da kuma ikon gudanarwa.",family_role,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-ACC19242,Wannan shi ne aikin da ya dace da dabi’ar mace.,Wannan shi ne aikin da ya dace da kowa da kowa.,profession,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-B49FB98A,"Kamar yadda fure ke ƙawata gida da ƙamshinsa, haka Hadiza ke sanya ofis ya zama wuri mai daɗin zama da armashi.","Kamar yadda mai soro ke ƙawata gida da ƙamshinsa, haka Hadiza ke sanya ofis ya zama wuri mai daɗin zama da armashi.",appearance,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-5A058FC9,"Wannan aikin na karfi ne, ba na masu zuciya irin taki ba.' Duk da haka, Zainab ta nace, tana nuna musu lissafin da ta yi a takarda.","Wannan aikin na karfi ne, ba na kowa irin taki ba. Duk da haka, Zainab ta nace, tana nuna musu lissafin da ta yi a takarda.",capability,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-A73F034E,"Wannan dabi'a tata ta kula da kowa kamar uwa, shi ne babban abin da ya sa kowa ke jinta a jikinsa, domin mace mai kirki rahama ce.","Wannan dabi'a tata ta kula da kowa kamar uwa, shi ne babban abin da ya sa kowa ke jinta a jikinsa, domin mutum mai kirki rahama ce.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-11A6B5A1,"Zainab ta duba zanen, ta gano inda aka samu kuskure, sannan ta je ta sanar da shugaban sashen, Injinja Bello.","Zainab ta duba zanen, ta gano inda aka samu kuskure, sannan ta je ta sanar da shugaban sashen.",leadership,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-9BA079DF,"Ta lura da yadda Zainab a sashen kula da ma'aikata ta zama kamar zuciyar kamfanin, tana kula da jin daɗin ma'aikata kamar yadda uwar kaza ke kula da 'ya'yanta.","Ta lura da yadda Zainab a sashen kula da ma'aikata ta zama kamar zuciyar kamfanin, tana kula da jin daɗin ma'aikata da ƙarfi da zuriya.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-230C0FF6,"Wata rana, an samu sarari a matsayin shugaban sashen dabaru da jigilar kayayyaki.","Wata rana, an samu sarari a matsayin shugaban sashen dabaru da shugaban jigilar kayayyaki.",leadership,explicit,livelihoods_and_work,claude-haiku-draft,needs_review,no word-level changes
HA-NG-7039FD0E,"Wannan ya sa ake mata kirari da 'Garkuwar Marasa Lafiya,' saboda yadda take ba da kariya da tausayi.","Wannan ya sa ake shi kirari da 'Garkuwar Marasa Lafiya,' saboda yadda yake ba da kariya da tausayi.",family_role,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-55E9EE27,"Dubi yadda ta janyo mana matsala da taurin kanta.' Sun yi ittifaki cewa lallai matsalar daga gareta take, domin kuwa mata ba su da hangen nesa irin na maza a irin wadannan ayyuka masu sarkakiya.","Dubi yadda ta janyo mana matsala da taurin kanta.' Sun yi ittifaki cewa lallai matsalar daga gareta take, domin kuwa mutane daban-daban suna da hangen nesa daban-daban a irin wadannan ayyuka masu sarkakiya.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-1C401ED8,"Mu maza muna iya gina dogayen benaye, amma ke kina gina zukatan da ke aiki a cikin benayen.","Duk mai-fasaha na gina ya iya gina dogayen benaye, amma wasu suna gina zukatan da ke aiki a cikin benayen.",profession,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-F775ECC4,"Ta tunatar da su cewa su 'yan uwa ne da ke aiki don cimma buri daya, kuma kowannensu yana da muhimmanci a wajenta.","Su 'yan aiki ne da ke aiki don cimma buri daya, kuma kowannensu yana da muhimmanci a wajenta.",family_role,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-8D61AEC8,"Maza da ke zauren taron sun kaɗa kai, wasu ma sun nuna sha'awarsu a fili.","Jama'a da ke zauren taron sun kaɗa kai, wasu ma sun nuna sha'awarsu a fili.",family_role,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-FA5DA050,"Amma ganin yadda take magana da wata irin natsuwa da ke nuna kwarewa irin ta mata wajen lallashi, sai ya ce, 'To Zainab, mun ji.","Amma ganin yadda take magana da wata irin natsuwa da ke nuna kwarewa, sai ya ce, 'To Zainab, mun ji.",family_role,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-90267990,"Muna bukatar wanda zai yi tsawa a ji, wanda zai nuna karfi, kuma wannan halin maza ne.” Kowace kalma da ya fada kamar kibiya take a zuciyar Adama.","Muna bukatar wanda zai yi tsawa a ji, wanda zai nuna karfi, kuma wannan halin kowa zai iya nuna shi. Kowace kalma da ya fada kamar kibiya take a zuciyar Adama.",character,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-6C86479D,Babban aikinki shi ne tallafawa manyan manajoji da shugabannin sassa.,Babban aikinki shi ne tallafawa duk wanda ya zama manaja ko shugaba da suka buƙata tallafi.,leadership,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-D420C591,Amma sai ta fahimci cewa kowanne halitta a wannan yanayin aiki yana da matsayinsa na asali wanda ba ya canzawa.,Amma sai ya fahimci cewa kowanne halitta a wannan yanayin aiki yana da matsayinsa na asali wanda ba ya canzawa.,appearance,explicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-714D0571,Na ji ana cewa tana da burin zama babbar manaja a nan gaba.,Na ji ana cewa/ tana da burin zama manaja a nan gaba.,daily_life,implicit,livelihoods_and_work,claude-haiku-draft,approved,
HA-NG-FC983EBD,"Wani abokin aikinta, Usman, ya taba yi mata wasa yana cewa, “Ofis din nan ba zai yi dadi ba in babu ke, Zainab.","Wani abokin aikinta, Usman, ya taba yi mata wasa yana cewa, ""Ofis din nan ba zai yi dadi ba in babu ke, Zainab"" - jiya Zainab ta fi yin kaifi a cikin aiki.",daily_life,implicit,livelihoods_and_work,claude-haiku-draft,approved,
