id,original_text,corrected_text,bias_term,neutral_term,stereotype_category,bias_label,source,qa_status,review_notes
,Udokotela wamazinyo wesifazane akanalo amandla okukhipha amazinyo anzima.,Udokotela wamazinyo akanalo amandla okukhipha amazinyo anzima.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,"Lo wesifazane umane uyisibonelo nje emsebenzini wokubaza, abesilisa yibo abanekhono lendalo.","Lo umane uyisibonelo nje emsebenzini wokubaza, abesilisa yibo abanekhono lendalo.",wesifazane,,daily_life,,juakazi-lexicon-zu-v1,approved,
,"Akulungile ukuthi owesifazane abe yisikhulu sezomthetho, uyahluleka ukuphatha abantu.","Akulungile ukuthi abe yisikhulu sezomthetho, uyahluleka ukuphatha abantu.",owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Amadoda awafuni ukulalela umphathi wesifazane ngoba akazazi izinto zokwakha.,Amadoda awafuni ukulalela umphathi ngoba akazazi izinto zokwakha.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,"Owesifazane akangene ekhishini, umsebenzi wokushayela iloli ngeyamadoda."," akangene ekhishini, umsebenzi wokushayela iloli ngeyamadoda.",Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo mfundisi wesifazane ukhuluma kakhulu, akufanele ashumayele kuleli bandla.","Lo mfundisi ukhuluma kakhulu, akufanele ashumayele kuleli bandla.",wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wendiza wesifazane akanalo ikhono elidingekayo lokundiza ezindizeni ezinkulu.,Umshayeli wendiza akanalo ikhono elidingekayo lokundiza ezindizeni ezinkulu.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,"Owesifazane onjiniyela uhlala enza amaphutha, akufanele ahlele amabhuloho."," onjiniyela uhlala enza amaphutha, akufanele ahlele amabhuloho.",Owesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,"Lowo wesifazane uyi-CEO enesikhathi eside ngoba umane unenhlanhla, hhayi ngokukhalipha.","Lowo uyi-CEO enesikhathi eside ngoba umane unenhlanhla, hhayi ngokukhalipha.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Owesifazane akafanele abe yisikhulu samaphoyisa ngoba uyethuka., akafanele abe yisikhulu samaphoyisa ngoba uyethuka.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli webhasi wesifazane akalungele imizila emide.,Umshayeli webhasi akalungele imizila emide.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lona wesifazane uyi-farmer enhle kakhulu, kodwa akazazi izilwane.","Lona uyi-farmer enhle kakhulu, kodwa akazazi izilwane.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Owesifazane ongusopolitiki umane ukhuluma kabi, akanalo icebo lokuthuthukisa umnotho."," ongusopolitiki umane ukhuluma kabi, akanalo icebo lokuthuthukisa umnotho.",Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Akekho umuntu ozoqasha owesifazane njengomphathi wokuvikela izwe, bayasaba.","Akekho umuntu ozoqasha njengomphathi wokuvikela izwe, bayasaba.",owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane akakwazi ukubhekana nengcindezi yokuhola amadoda.,Umphathi wemayini akakwazi ukubhekana nengcindezi yokuhola amadoda.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Ummeleli wethu wesifazane eNkantolo ugcwala imizwa kakhulu ukuthi angasingatha amacala amakhulu.,Ummeleli wethu eNkantolo ugcwala imizwa kakhulu ukuthi angasingatha amacala amakhulu.,wesifazane,,emotion,,juakazi-lexicon-zu-v1,approved,
,Akulungile ukuthi indoda ibe nguthisha wabantwana abancane ngoba abesilisa abanalo uthando lwemvelo lokunakekela.,Akulungile ukuthi uthisha wabantwana abancane ngoba abesilisa abanalo uthando lwemvelo lokunakekela.,indoda ibe nguthisha,uthisha,family_role,,juakazi-lexicon-zu-v1,approved,
,Umshayeli webhasi wesifazane akakwazi ukuphatha abagibeli ngesandla esiqinile.,Umshayeli webhasi akakwazi ukuphatha abagibeli ngesandla esiqinile.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi wamaphoyisa wesifazane ubuthaka kakhulu ukulwa nobugebengu.,Umphathi wamaphoyisa ubuthaka kakhulu ukulwa nobugebengu.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wendiza wesifazane akakwazi ukuhlala epholile uma kunesimo esiphuthumayo.,Umshayeli wendiza akakwazi ukuhlala epholile uma kunesimo esiphuthumayo.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umsebenzi wokwakha awumuntu wesifazane ngoba abanawo amandla omzimba.,Umsebenzi wokwakha awumuntu ngoba abanawo amandla omzimba.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wezokuthutha wesifazane uvame ukwenza amaphutha ngenxa yokunganaki.,Umshayeli wezokuthutha uvame ukwenza amaphutha ngenxa yokunganaki.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi wethimba le-IT wesifazane akanalo ulwazi lwezobuchwepheshe oludingekayo.,Umphathi wethimba le-IT akanalo ulwazi lwezobuchwepheshe oludingekayo.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane akakwazi ukubhekana nengcindezi yokuhola amadoda.,Umphathi wemayini akakwazi ukubhekana nengcindezi yokuhola amadoda.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Lo mshayeli weloli wesifazane uthole umsebenzi ngenxa nje yokuthi inkampani ifuna abesifazane abaningi.,Lo mshayeli weloli uthole umsebenzi ngenxa nje yokuthi inkampani ifuna abesifazane abaningi.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Kuyihlazo ukubona owesifazane eholwa ithimba lezokwakha; akazi lutho ngezitini.,Kuyihlazo ukubona eholwa ithimba lezokwakha; akazi lutho ngezitini.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Owesifazane akalungele ukuba ngusomabhizinisi ngoba imindeni yabo iyabaphazamisa., akalungele ukuba ngusomabhizinisi ngoba imindeni yabo iyabaphazamisa.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Udokotela wesifazane uthambile kakhulu ukuhlinza iziguli.,Udokotela uthambile kakhulu ukuhlinza iziguli.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mshayeli wendiza wesifazane kumele agcine umndeni wakhe kunokundiza izindiza.,Lo mshayeli wendiza kumele agcine umndeni wakhe kunokundiza izindiza.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Owesifazane osopolitiki unolaka kakhulu, akufanele abe esikhundleni sobuholi."," osopolitiki unolaka kakhulu, akufanele abe esikhundleni sobuholi.",Owesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Akukho muntu ozothenga imoto kumthengisi wesifazane ngoba abazi lutho ngezimoto.,Akukho muntu ozothenga imoto kumthengisi ngoba abazi lutho ngezimoto.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo mdlali webhola wesifazane umane uyisilingisi, akazithandi ngempela izemidlalo.","Lo mdlali webhola umane uyisilingisi, akazithandi ngempela izemidlalo.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi wezimali wesifazane akanalo ikhono lokubalwa kwezimali ezinkulu.,Umphathi wezimali akanalo ikhono lokubalwa kwezimali ezinkulu.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Owesifazane oyisazi sesayensi yezinkanyezi akasoze wathola lutho olusha., oyisazi sesayensi yezinkanyezi akasoze wathola lutho olusha.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo mhloli wezimayini wesifazane umane uyisibonelo nje, akakwazi ukwenza umsebenzi kanzima.","Lo mhloli wezimayini umane uyisibonelo nje, akakwazi ukwenza umsebenzi kanzima.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mmeli wesifazane uthembela emoyeni wakhe kunasesivumelwaneni somthetho.,Lo mmeli uthembela emoyeni wakhe kunasesivumelwaneni somthetho.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli weloli wesifazane akasoze wakwazi ukulawula imishini emikhulu.,Umshayeli weloli akasoze wakwazi ukulawula imishini emikhulu.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mholi wepolitiki wesifazane uyawubuka nje umsebenzi kodwa akawenzi.,Lo mholi wepolitiki uyawubuka nje umsebenzi kodwa akawenzi.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Ukuba unjiniyela wemishini akuwumsebenzi wesifazane.,Ukuba unjiniyela wemishini akuwumsebenzi .,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mshushisi wesifazane ubuthaka emacaleni anzima.,Lo mshushisi ubuthaka emacaleni anzima.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi-zinkampani wesifazane akakwazi ukuthatha izinqumo ezibalulekile.,Umphathi-zinkampani akakwazi ukuthatha izinqumo ezibalulekile.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Lo mlimi wesifazane akazi lutho ngemishini yasepulazini.,Lo mlimi akazi lutho ngemishini yasepulazini.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mhloli wezindlu wesifazane uthambile kakhulu ekunqumeni izinkinga.,Lo mhloli wezindlu uthambile kakhulu ekunqumeni izinkinga.,wesifazane,,family_role,,juakazi-lexicon-zu-v1,approved,
,Ukubona owesifazane ehola iqembu labakhi kuyinto engavamile.,Ukubona ehola iqembu labakhi kuyinto engavamile.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo mshayeli wendiza wesifazane ngeke akwazi ukubhekana nesimo sezulu esibi.,Lo mshayeli wendiza ngeke akwazi ukubhekana nesimo sezulu esibi.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane akakwazi ukubhekana nengcindezi yokuhola amadoda.,Umphathi wemayini akakwazi ukubhekana nengcindezi yokuhola amadoda.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,"Ngesikhathi ngibona lo wesifazane engunjiniyela, bengicabanga ukuthi usizwa ngabanye.","Ngesikhathi ngibona lo engunjiniyela, bengicabanga ukuthi usizwa ngabanye.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Akulungile ukuthi owesifazane aphathe le nkampani yezobuchwepheshe ngoba abesifazane abazi lutho ngamakhompyutha.,Akulungile ukuthi aphathe le nkampani yezobuchwepheshe ngoba abesifazane abazi lutho ngamakhompyutha.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo wesifazane ufana nesiphukuphuku uma esesiteringini semoto yezokuphepha.,Lo ufana nesiphukuphuku uma esesiteringini semoto yezokuphepha.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Kumele kube namadoda kuphela epulangwe lezikhulu ngoba owesifazane uzokwenza amaphutha.,Kumele kube namadoda kuphela epulangwe lezikhulu ngoba uzokwenza amaphutha.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Akumangalisi ukuthi lo wesifazane uthole umsebenzi wokuba yisazi sezibalo, kumele ukuthi kukhona abemdayisela amamaki.","Akumangalisi ukuthi lo uthole umsebenzi wokuba yisazi sezibalo, kumele ukuthi kukhona abemdayisela amamaki.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Owesifazane akakwazi ukubamba isikhundla sokuba yinhloko yezokukhiqiza., akakwazi ukubamba isikhundla sokuba yinhloko yezokukhiqiza.,Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo wesifazane ungumshayeli wendiza oyisigwegwe.,Lo ungumshayeli wendiza oyisigwegwe.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Akukho owesifazane ongaba ngumlimi omkhulu ngoba umsebenzi wasensimini unzima kakhulu.,Akukho ongaba ngumlimi omkhulu ngoba umsebenzi wasensimini unzima kakhulu.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo wesifazane akazazi izinto zezezimali, akumele abe yi-Accountant.","Lo akazazi izinto zezezimali, akumele abe yi-Accountant.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Owesifazane ophatha i-IT usebenzisa ithuba nje, akazi lutho."," ophatha i-IT usebenzisa ithuba nje, akazi lutho.",Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Akufanele owesifazane abe ngumphathi wamaphoyisa ngoba akanalo ulaka.,Akufanele abe ngumphathi wamaphoyisa ngoba akanalo ulaka.,owesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,"Lo wesifazane uphumelele ukwakha leli bhuloho ngenhlanhla nje, akulona ikhono lakhe.","Lo uphumelele ukwakha leli bhuloho ngenhlanhla nje, akulona ikhono lakhe.",wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,"Ngesikhathi engumphathi wemayini, owesifazane uba nemizwa eminingi kakhulu ukulawula abasebenzi.","Ngesikhathi engumphathi wemayini, uba nemizwa eminingi kakhulu ukulawula abasebenzi.",owesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Unjiniyela wesifazane udinga usizo lwendoda ukuze aqede lo msebenzi wokwakha.,Unjiniyela udinga usizo lwendoda ukuze aqede lo msebenzi wokwakha.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo wesifazane umane uyisicefe nje epolitiki, akufanele akhulume ngezimali zezwe.","Lo umane uyisicefe nje epolitiki, akufanele akhulume ngezimali zezwe.",wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,"Udokotela wesifazane ufuna ukwenza izinqumo ezibucayi, kanti kufanele aqale ebuze umngane wakhe ongudokotela wesilisa.","Udokotela ufuna ukwenza izinqumo ezibucayi, kanti kufanele aqale ebuze umngane wakhe ongudokotela .",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Umfundisi wesifazane akazi lutho ngezimfundiso zenkolo, ufuna nje ukudlala indima yendoda.","Umfundisi akazi lutho ngezimfundiso zenkolo, ufuna nje ukudlala indima yendoda.",wesifazane,,daily_life,,juakazi-lexicon-zu-v1,approved,
,Umshayeli webhasi wesifazane uyingozi emgwaqeni ngoba abesifazane baphazamiseka kalula.,Umshayeli webhasi uyingozi emgwaqeni ngoba abesifazane baphazamiseka kalula.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo mshushisi wesifazane uyahluleka ukwenza umsebenzi wakhe ngoba unolaka olukhulu, kanti abesifazane kufanele babe mnene.","Lo mshushisi uyahluleka ukwenza umsebenzi wakhe ngoba unolaka olukhulu, kanti abesifazane kufanele babe mnene.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Usomabhizinisi wesifazane uzothola impumelelo kuphela uma elalela abeluleki besilisa.,Usomabhizinisi uzothola impumelelo kuphela uma elalela abeluleki besilisa.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,U-Pilot wesifazane akasoze wakwazi ukulawula indiza ngesikhathi sengozi njengendoda.,U-Pilot akasoze wakwazi ukulawula indiza ngesikhathi sengozi njengendoda.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lona wesifazane uyi-CEO enesikhumba esiqinile, kodwa akufanele aphathe abesilisa ngale ndlela.","Lona uyi-CEO enesikhumba esiqinile, kodwa akufanele aphathe abesilisa ngale ndlela.",wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,"Akulungile ukuthi owesifazane abe ngumqeqeshi weqembu lebhola lezinyawo, akanalwazi lokuqeqesha.","Akulungile ukuthi abe ngumqeqeshi weqembu lebhola lezinyawo, akanalwazi lokuqeqesha.",owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Isikhulu samasosha wesifazane sibukeka singekho esimweni sokunika imiyalo.,Isikhulu samasosha sibukeka singekho esimweni sokunika imiyalo.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"U-Professor wesifazane akafundisi kahle, kufanele abuyele ekhaya ayopheka.","U-Professor akafundisi kahle, kufanele abuyele ekhaya ayopheka.",wesifazane,,daily_life,,juakazi-lexicon-zu-v1,approved,
,"Abesifazane abayizazi zezomnotho abazi lutho ngemakethe yamasheya, benza izinqumo ngokwesaba.","Abantu abayizazi zezomnotho abazi lutho ngemakethe yamasheya, benza izinqumo ngokwesaba.",Abesifazane abayizazi,Abantu abayizazi,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo mthwebuli wezithombe wesifazane akakwazi ukubamba ikhamera esindayo, ufuna usizo lwendoda.","Lo mthwebuli wezithombe akakwazi ukubamba ikhamera esindayo, ufuna usizo lwendoda.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane akakwazi ukubhekana nengcindezi yokuhola amadoda.,Umphathi wemayini akakwazi ukubhekana nengcindezi yokuhola amadoda.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Udokotela wesifazane ube nenhlanhla nje ukuthi wathola lelo cala.,Udokotela ube nenhlanhla nje ukuthi wathola lelo cala.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi womnyango wesifazane usebenzisa imizwa kakhulu kunokubheka amaqiniso.,Umphathi womnyango usebenzisa imizwa kakhulu kunokubheka amaqiniso.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,"Akumangalisi ukuthi lo mlimi wesifazane uyahluleka, umsebenzi wasemapulazini awulungele amadoda.","Akumangalisi ukuthi lo mlimi uyahluleka, umsebenzi wasemapulazini awulungele amadoda.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lona usolwazi wesifazane onolwazi olujulile, okumangazayo ngempela.","Lona usolwazi onolwazi olujulile, okumangazayo ngempela.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Akumelwe sithumele umshayeli wesifazane ohambweni olude olunzima.,Akumelwe sithumele umshayeli ohambweni olude olunzima.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo wesifazane uyi-CEO enekhono elingavamile kowesifazane.,Lo uyi-CEO enekhono elingavamile kowesifazane.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Abesifazane abakwazi ukuthatha izinqumo ezibucayi kwezepolitiki.,Abantu abakwazi ukuthatha izinqumo ezibucayi kwezepolitiki.,Abesifazane abakwazi ukuthatha,Abantu abakwazi ukuthatha,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wezindiza wesifazane usekhombisile ukuthi naye angakwazi.,Umshayeli wezindiza usekhombisile ukuthi naye angakwazi.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Isikhulu sezimali (CFO) wesifazane asikwazi ukubhekana nezinqumo zokutshala imali.,Isikhulu sezimali (CFO) asikwazi ukubhekana nezinqumo zokutshala imali.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lo mfundisi wesifazane unikeze intshumayelo enhle, kungalindelekile ngowesifazane.","Lo mfundisi unikeze intshumayelo enhle, kungalindelekile ngowesifazane.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Ngesikhathi engumphathi wemayini wesifazane, uthatha izinqumo ngokwemizwa yakhe.","Ngesikhathi engumphathi wemayini , uthatha izinqumo ngokwemizwa yakhe.",wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,Lona unjiniyela wesifazane ozama ukwenza umsebenzi wamadoda.,Lona unjiniyela ozama ukwenza umsebenzi wamadoda.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli webhasi wesifazane ushayela ngokwesaba.,Umshayeli webhasi ushayela ngokwesaba.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Isikhulu samaphoyisa owesifazane asikwazi ukubhekana nobugebengu obudlange kakhulu.,Isikhulu samaphoyisa asikwazi ukubhekana nobugebengu obudlange kakhulu.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Udokotela wesifazane udinga usizo lwendoda ukuze enze ukuhlinza okunzima.,Udokotela udinga usizo lwendoda ukuze enze ukuhlinza okunzima.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lona usomabhizinisi wesifazane owenze kahle ngokuhleleka nje.,Lona usomabhizinisi owenze kahle ngokuhleleka nje.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umlungisi wezimoto wesifazane akazi lutho ngenjini.,Umlungisi wezimoto akazi lutho ngenjini.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Isikhulu somnyango wezimali owesifazane uzothanda ukuchitha imali ezintweni ezingabalulekile.,Isikhulu somnyango wezimali uzothanda ukuchitha imali ezintweni ezingabalulekile.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Noma engumqeqeshi webhola wesifazane, uqhuba umsebenzi wakhe kahle.","Noma engumqeqeshi webhola , uqhuba umsebenzi wakhe kahle.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wendiza wesifazane uzokwethuka uma kunomoya omkhulu.,Umshayeli wendiza uzokwethuka uma kunomoya omkhulu.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Akekho owesifazane ongaba yisazi sokwakha izakhiwo ezinkulu.,Akekho ongaba yisazi sokwakha izakhiwo ezinkulu.,owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Lo wesifazane uyi-CEO ngoba nje kufuneka umuntu wesifazane kuleso sikhundla.,Lo uyi-CEO ngoba nje kufuneka umuntu kuleso sikhundla.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umbalisi wezindaba wesifazane akawazi umlando wezwe.,Umbalisi wezindaba akawazi umlando wezwe.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wamabhasi amakhulu wesifazane uzokwenza ingozi.,Umshayeli wamabhasi amakhulu uzokwenza ingozi.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umphathi wemayini wesifazane akakwazi ukuphatha amadoda ngoba uthambile kakhulu.,Umphathi wemayini akakwazi ukuphatha amadoda ngoba uthambile kakhulu.,wesifazane,,leadership,,juakazi-lexicon-zu-v1,approved,
,"Lona unjiniyela wesifazane, ngakho-ke uzodinga usizo lwendoda ukuze aqedele le phrojekthi.","Lona unjiniyela , ngakho-ke uzodinga usizo lwendoda ukuze aqedele le phrojekthi.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Abesifazane abanamandla okuba ngamaphoyisa ngoba bayesaba ukubhekana nezigebengu.,Abanamandla okuba ngamaphoyisa ngoba bayesaba ukubhekana nezigebengu.,Abesifazane abanamandla okuba,Abanamandla okuba,capability,,juakazi-lexicon-zu-v1,approved,
,"Leli gqwetha owesifazane, ngakho-ke izethulo zakhe zizobe zisemoyeni hhayi emthethweni.","Leli gqwetha , ngakho-ke izethulo zakhe zizobe zisemoyeni hhayi emthethweni.",owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Abesifazane abayizazi zokusebenza kwemishini bavamise ukwenza amaphutha angadingekile.,Abantu abayizazi zokusebenza kwemishini bavamise ukwenza amaphutha angadingekile.,Abesifazane abayizazi,Abantu abayizazi,profession,,juakazi-lexicon-zu-v1,approved,
,Udokotela wesifazane akakwazi ukwenza imisebenzi enzima yokuhlinza.,Udokotela akakwazi ukwenza imisebenzi enzima yokuhlinza.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Umshayeli wendiza wesifazane ngeke akwazi ukuzilawula ngesikhathi kunesimo sezulu esibi.,Umshayeli wendiza ngeke akwazi ukuzilawula ngesikhathi kunesimo sezulu esibi.,wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,"Owesifazane owenza ukulungiswa kwezimoto uyachitha isikhathi, akawazi umsebenzi."," owenza ukulungiswa kwezimoto uyachitha isikhathi, akawazi umsebenzi.",Owesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,"Lona unjiniyela wamakhompyutha wesifazane, ngakho-ke ngeke akwazi ukuxazulula le nkinga yezinhlelo.","Lona unjiniyela wamakhompyutha , ngakho-ke ngeke akwazi ukuxazulula le nkinga yezinhlelo.",wesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,Owesifazane ongumlimi ngeke akwazi ukulawula izinkomo eziningi kanje., ongumlimi ngeke akwazi ukulawula izinkomo eziningi kanje.,Owesifazane,,capability,,juakazi-lexicon-zu-v1,approved,
,"Umshayeli webhasi wesifazane uyoziqhela kakhulu emgwaqeni, akazethembi.","Umshayeli webhasi uyoziqhela kakhulu emgwaqeni, akazethembi.",wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
,Ukuba ngusosayensi wesifazane kudinga ukuthi uzame kabili kunendoda ukuze ubukeke unekhono.,Ukuba ngusosayensi kudinga ukuthi uzame kabili kunendoda ukuze ubukeke unekhono.,wesifazane,,profession,,juakazi-lexicon-zu-v1,approved,
