term,frequency,source,validation_status,category,notes,confidence,reason
mabaya,12,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_12
misaada,12,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_12
majaji,12,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_12
mswaada,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
mwanzoni,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
mashuhuri,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
maana,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
mwenza,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
meya,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
mapambano,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
majeshi,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
maslahi,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
mengi,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
madini,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
msamaha,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
moeti,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
maalim,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
makamishna,11,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_11
makosa,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
malalamiko,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
mdogo,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
moyo,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
mungu,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
mkewe,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
malengo,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
mwanachama,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
myanmar,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
maelezo,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
maombi,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
misa,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
mshirika,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
mafunzo,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
mirembe,10,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_10
mogadishu,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
mivutano,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
mazishi,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
mafanikio,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
mkazi,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
mwenyewe,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
majibu,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
muhammadu,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
mwenyeji,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
mwendesha,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
media,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
matshidiso,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
mapya,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
mwenzake,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
maji,9,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_9
mikakati,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
mitaa,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
mrengo,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
mitihani,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
minneapolis,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
miji,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
mtangulizi,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
maswala,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
millioni,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
maseneta,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
machafuko,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
miongo,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
mshauri,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
movement,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
mwanamuziki,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
mashitaka,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
musene,8,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_8
mawazo,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
mahusiano,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
mamilioni,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
mamia,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
mwana,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
mzuri,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
miradi,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
mcconnell,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
matukio,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
momanyi,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
mikataba,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
muhanga,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
mahali,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
maswali,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
makam,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
manyanyaso,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
majina,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
mjadala,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
moto,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
makonda,7,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_7
mwendo,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
majeraha,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
maziko,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mfululizo,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mapato,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
makali,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mitch,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mingi,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mwengine,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mechi,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mahama,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
maas,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mahamat,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mashauriano,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
membe,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
matakwa,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mihula,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
marais,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mstari,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mchungaji,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mnyika,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
maadhimisho,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mtihani,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mark,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
magonjwa,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mwanafunzi,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
muntu,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mchambuzi,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
majaribio,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
magavana,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
msimamizi,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
malipo,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
matangazo,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mwanadiplomasia,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mguu,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
muhoozi,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
maambukizo,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mshikamano,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
miller,6,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_6
mume,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
malkia,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
maagizo,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mwema,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
malawi,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mbadala,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mradi,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
makampuni,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mlinzi,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mtoto,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
magaidi,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
msiba,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
majengo,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mshindani,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mrithi,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mashambulio,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mchango,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mratibu,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mgeni,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mwito,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mkakati,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
maryland,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mkoani,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
makabiliano,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
makabila,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
maumivu,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
morocco,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mugisha,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
msako,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
marshall,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mizozo,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
makamanda,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
majira,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mimi,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
meja,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mahitaji,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
michael,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
moscow,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
mikono,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
masomo,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
muongozo,5,masakhaner,needs_validation,occupation,Extracted from MasakhaNER Swahili (PER contexts),medium,medium_frequency_5
