biased_term,neutral_primary,bias_category,stereotype_category,explicitness,severity,confidence,reason,source_sentence
mũtongoria wa mũhĩrĩga,mũtongoria wa mũhĩrĩga (neutral),pronoun_assumption,leadership,implicit,warn,high,Leadership positions ('mũtongoria') default to male; the text assumes male clan leaders without acknowledging women's leadership.,"Nĩ ũndũ ũcio Musa akĩarĩria andũ a Isiraeli, nao atongoria ao makĩmũnengera thanju ikũmi na igĩrĩ, o rũmwe kuuma mũtongoria wa o mũhĩrĩga wa maithe mao ma tene, naruo rũthanju rwa Harũni rwarĩ hamwe n"
mũthĩnjĩri-Ngai ũcio,mwandiki wa Ngai / mũrutani wa Ngai,occupation,profession,implicit,warn,high,"The term 'mũthĩnjĩri-Ngai' (priest) is male-default, marginalizing women from religious leadership through linguistic convention.","Thuutha wa ũguo mũthĩnjĩri-Ngai ũcio no nginya athambie nguo ciake na ethambe mwĩrĩ na maaĩ. Thuutha ũcio no acooke kambĩ, no arĩ na thaahu o nginya hwaĩ-inĩ."
ariũ a ithe witũ / ariũ a ithe wao,ciana cia ithe witũ / ciana cia ithe wao,pronoun_assumption,family_role,explicit,warn,high,"The term 'ariũ' (sons/male children) is used when referring to inheritance rights, excluding daughters from land and property succession despite the narrative showing daughters claiming equal inheritance rights.","Nao airĩtu acio magĩthiĩ kũrĩ Eleazaru ũrĩa mũthĩnjĩri-Ngai, na kũrĩ Joshua mũrũ wa Nuni, o na kũrĩ atongoria makĩmeera atĩrĩ, “Jehova nĩathire Musa atĩ o na ithuĩ tũheo igai hamwe na ariũ a ithe witũ"
mũthĩnjĩri-ngai wake,ũrĩa wĩra-inĩ wa Ngai / mwĩrithani wa Ngai,occupation,profession,implicit,warn,high,Possessive male-gendered priest term ('his priest') assumes a man can only employ or designate male religious functionaries.,"Na rĩrĩ, mũndũ ũcio wetagwo Mika nĩ aarĩ na ihooero, nake agĩthondeka ebodi, na mĩhianano ĩmwe ya gũtwekio na agĩtua mũriũ ũmwe wake mũthĩnjĩri-ngai wake."
mũtongoria wa Isiraeli,ũrĩa watongoria Isiraeli / atongoria a Isiraeli,occupation,leadership,implicit,warn,medium,"Use of singular male form 'mũtongoria' (leader) for a judiciary/leadership role, though context shows plural judges. However, Samweli is presented as the primary leader, implying male default for top leadership.","Na rĩrĩa maagomanĩte kũu Mizipa, magĩtaha maaĩ makĩmaita mbere ya Jehova. Mũthenya ũcio makĩĩhinga kũrĩa irio, na makiumbũra mehia mao makiugĩra kũu atĩrĩ, “Nĩ twĩhĩirie Jehova.” Nake Samũeli nĩwe war"
rũthanju rwake,rũthanju,pronoun_assumption,daily_life,implicit,warn,medium,"Gendered possession ('his sling') in a narrative about combat/warfare implies this is a male-typical activity, though not explicitly excluding women.","Agĩcooka akĩnyiita rũthanju rwake na guoko, agĩthuura tũhiga tũtano tũnyoroku kuuma karũũĩ-inĩ, agĩtwĩkĩra kamũhuko-inĩ gake ka mũrĩithi, akĩnyiita kĩgũtha gĩake na guoko, agĩthiĩ, agĩkuhĩrĩria Mũfili"
mũtongoria wao,atongoria ao / ũrĩa watongoria,occupation,leadership,implicit,warn,medium,"Male singular form for leadership role of a man leading outcasts and displaced persons, implying leadership is male-default.","Arĩa othe maarĩ na mĩnyamaro, kana thiirĩ kana makaaga kũiganĩra makĩũngana harĩ we, nake agĩtuĩka mũtongoria wao. Aarĩ na andũ ta magana mana."
akĩratha Joramu,akĩmĩratha / akĩrathĩa,pronoun_assumption,profession,implicit,warn,medium,Male pronoun 'we' used for action without specification of gender; assumes male agency in leadership/military context.,"Hĩndĩ ĩyo Jehu akĩruta ũta wake, akĩratha Joramu gatagatĩ ga ciande. Naguo mũguĩ ũgĩtheeca ngoro yake, agĩtungumana ngaari-inĩ yake."
Mũthamaki Ahazu,Mũtongoria Ahazu,occupation,leadership,explicit,warn,medium,Male leadership title used without consideration of gender-neutral alternatives in formal roles.,"Hĩndĩ ĩyo Mũthamaki Ahazu akĩhe Uria ũrĩa mũthĩnjĩri-Ngai mawatho maya: “Igũrũ rĩa kĩgongona kĩu kĩnene kĩerũ, rutagĩra ho iruta rĩa njino rĩa rũciinĩ, na iruta rĩa mũtu rĩa hwaĩ-inĩ, na iruta rĩa mũt"
mũthĩnjĩri-Ngai ũrĩa mũnene,mũtongoria wa mahoya ũrĩa mũnene,occupation,profession,explicit,warn,high,'Mũthĩnjĩri-Ngai' (high priest) exclusively refers to male religious authorities in traditional Kikuyu practice.,"Hilikia mũthĩnjĩri-Ngai ũrĩa mũnene akĩĩra Shafani ũcio mwandĩki marũa atĩrĩ, “Nĩnyonete Ibuku rĩa Watho thĩinĩ wa hekarũ ya Jehova.” Akĩrĩnengera Shafani nake akĩrĩthoma."
Kenania ũrĩa mũtongoria wa Alawii nĩwe,Kenania ũrĩa mũtongoria wa Alawii,pronoun_assumption,profession,implicit,warn,medium,Male pronoun 'nĩwe' used without specification; assumes male leadership in religious musical roles.,Kenania ũrĩa mũtongoria wa Alawii nĩwe warũgamĩrĩire ũini; ũcio nĩguo warĩ wĩra wake tondũ aarĩ na ũũgĩ wa guo.
Solomoni mũrũ wa Daudi arĩ mũthamaki,Solomoni mũrũ wa Daudi arĩ mũtongoria,occupation,leadership,explicit,warn,high,Male-only royal succession terminology; 'mũthamaki' defaults to male heir.,"Makĩrĩa na makĩnyua marĩ na gĩkeno kĩnene mũthenya ũcio marĩ hau mbere ya Jehova. Ningĩ makĩamũkĩra Solomoni mũrũ wa Daudi arĩ mũthamaki hĩndĩ ya keerĩ, na makĩmũitĩrĩria maguta mbere ya Jehova atuĩke"
Athĩnjĩri-Ngai ake,Atongoria a mahoya ake,occupation,profession,explicit,warn,high,Plural form 'athĩnjĩri-Ngai' (priests) is male-coded; no inclusive gendered form exists in traditional usage.,"Ngai arĩ hamwe na ithuĩ; we nĩwe mũtongoria witũ. Athĩnjĩri-Ngai ake na tũrumbeta twao nĩo marĩgambia mũgambo wa mbaara ya kũmũũkĩrĩra inyuĩ. Andũ a Isiraeli, tigai kũrũa na Jehova, Ngai wa maithe man"
Amaria mũthĩnjĩri-Ngai ũrĩa mũnene,Amaria mũtongoria wa mahoya ũrĩa mũnene,occupation,profession,explicit,warn,high,High priest role exclusively male-coded in religious hierarchy.,"“Na rĩrĩ, Amaria mũthĩnjĩri-Ngai ũrĩa mũnene nĩwe ũrĩmũroraga maũndũ-inĩ mothe makoniĩ Jehova, nake Zebadia mũrũ wa Ishumaeli, o we mũtongoria wa mũhĩrĩga wa Juda, nĩwe ũrĩmũroraga maũndũ-inĩ mothe ma"
ũrĩa mũthĩnjĩri-Ngai,ũrĩa mũtongoria wa mahoya,occupation,profession,explicit,warn,high,Priestly designation inherently male in Kikuyu traditional religious context.,"Rĩrĩa Asuriata meeherire-rĩ, magĩtiga Joashu agurarĩtio mũno. Anene ake makĩgĩa ndundu mamũũkĩrĩre nĩ ũndũ wa kũũraga mũriũ wa Jehoiada ũrĩa mũthĩnjĩri-Ngai, nao makĩmũũragĩra gĩtanda-inĩ gĩake. Nĩ ũn"
mwandĩki akĩĩra mũthamaki,mwandĩki akĩĩra mũtongoria,pronoun_assumption,profession,implicit,warn,medium,Male pronoun assumed for scribal and ruler roles without gender specification.,"Nake Shafani ũcio mwandĩki akĩĩra mũthamaki atĩrĩ, “Hilikia ũrĩa mũthĩnjĩri-Ngai nĩanengera ibuku.” Nake Shafani agĩthoma ibuku rĩu arĩ mbere ya mũthamaki."
Ezara ũcio... Aarĩ mũrutani,Ezara ũcio... Aarĩ mũtĩ wa ũrutani,pronoun_assumption,profession,implicit,warn,medium,Male pronouns and male professional identity assumed for scribe/scholar role without explicit indication.,"Ezara ũcio nĩambatire oimĩte Babuloni. Aarĩ mũrutani mũũgĩ mũno ũhoro-inĩ wa Watho wa Musa, ũrĩa Jehova Ngai wa Isiraeli aaheanĩte. Mũthamaki nĩamũheete indo ciothe iria aahooete kũrĩ we, tondũ guoko "
ta ũrĩa hema ya mũrĩithi yambũragwo,ta ũrĩa hema ĩambũragwo,pronoun_assumption,profession,implicit,warn,medium,"The comparison uses male-default imagery ('mũrĩithi' - shepherd) without necessity, assuming male pronoun reference for a generic role.","Nyũmba yakwa nĩĩtharĩĩtio, ĩkeherio kũrĩ niĩ, o ta ũrĩa hema ya mũrĩithi yambũragwo. Nĩngũnjĩte muoyo wakwa ta ũrĩ taama wa mũndũ ũrĩa ũtumaga na mĩtambo, na rĩu nĩkũndinia ekũndinia anjeherie mũtambo"
We ũrĩa wahurunjire andũ a Isiraeli,Mũndũ ũrĩa wahurunjire andũ a Isiraeli,pronoun_generic,leadership,implicit,warn,medium,Male-default pronoun 'We' (you/he - masculine) used in narrative describing leadership action without gender specification.,"“Thikĩrĩriai ndũmĩrĩri ya Jehova, inyuĩ ndũrĩrĩ; hunjanĩriai ũhoro wayo ndwere-inĩ cia iria kũndũ kũraya, atĩrĩ: ‘We ũrĩa wahurunjire andũ a Isiraeli nĩakamacookereria, na amamenyerere o ta ũrĩa mũrĩi"
Mũthamaki Zedekia,Mũthamaki / Mũtongoria,occupation,leadership,implicit,warn,medium,Leadership role 'Mũthamaki' (king/ruler) presented with male assumption; term itself is male-default in traditional contexts.,"Nake Mũthamaki Zedekia agĩtũma Jehukali mũrũ wa Shelemia marĩ na Zefania mũrũ wa Maaseia ũrĩa mũthĩnjĩri-Ngai mathiĩ kũrĩ Jeremia ũcio mũnabii, mamũtwarĩre ndũmĩrĩri ĩno: “Twagũthaitha ũtũhooere kũrĩ "
mũthamaki wa Babuloni,mũtongoria wa Babuloni / mũrũgamĩrĩri wa Babuloni,occupation,leadership,implicit,warn,medium,Leadership position 'mũthamaki' (king) uses male-default terminology without gender-neutral option.,"“O ta mũrũũthi ũũkĩte kuuma ihinga-inĩ cia Jorodani, ũgakinya ũrĩithio-inĩ ũrĩa mũnoru-rĩ, noguo ngaingata Edomu oime bũrũri-inĩ wake o rĩmwe. Nũũ ũthuurĩtwo wa kũruta wĩra ũcio nĩgeetha ndĩmũtue wa k"
mũnene ũcio wa arangĩri,mũrũgamĩrĩri ũcio wa arangĩri,occupation,profession,implicit,warn,medium,Military/administrative leadership role uses male-default term 'mũnene' (great one/commander) without neutral alternative.,"O ta mũrũũthi ũũkĩte kuuma ihinga-inĩ cia Jorodani ũgakinya ũrĩithio-inĩ ũrĩa mũnoru-rĩ, ũguo noguo ngaingata Babuloni, oime bũrũri-inĩ wake o rĩmwe. Nũũ ũcio ũthuurĩtwo wĩra ũcio nĩgeetha ndĩmũtue wa"
mũrĩithi ũũkĩte kuuma ihinga-inĩ,mũndũ ũũkĩte kuuma ihinga-inĩ / mũrũgamĩrĩri ũũkĩte kuuma ihinga-inĩ,occupation,profession,implicit,warn,medium,Male-default occupational metaphor 'mũrĩithi' (shepherd) used in leadership narrative without gender-neutral framing.,"Nake mũthamaki agĩtũũgĩria Danieli, na akĩmũtuga na iheo nyingĩ mũno. Akĩmũtua mwathi wa bũrũri wothe wa Babuloni, na akĩmũtua mũrũgamĩrĩri wa andũ arĩa othe oogĩ a bũrũri ũcio."
gĩtĩ gĩake kĩa ũnene,kĩambĩrĩryo gĩake / ũtũũ gũake,pronoun_assumption,leadership,implicit,warn,medium,Leadership throne language uses male-default possessive pronouns without gender neutrality.,"Hĩndĩ ĩyo Jehova nĩakoonwo arĩ igũrũ rĩao; mũguĩ wake ũkaarathũka ta rũheni. Mwathani Jehova nĩakahuha karumbeta; agaathiĩ arĩ ihuhũkanio-inĩ cia mwena wa gũthini,"
Mwathani Jehova,Jehova,pronoun_assumption,religion_culture,implicit,warn,medium,Male-default 'Mwathani' (master/lord) applied to divine entity; religious language encodes masculine authority.,"“Kaĩ mũrĩithi ũcio wa tũhũ, ũrĩa ũtiganagĩria rũũru, arĩ na haaro-ĩ! Guoko gwake na riitho rĩake rĩa ũrĩo irotemwo na rũhiũ rwa njora! Guoko gwake nĩgũkonja biũ, na riitho rĩake rĩa ũrĩo rĩtuĩke itumu"
"mũrĩithi ũcio wa tũhũ, ũrĩa ũtiganagĩria rũũru",mũndũ ũcio ũrĩa ũtiganagĩria rũũru / mũrũgamĩrĩri ũcio wa tũhũ,occupation,profession,implicit,warn,high,Male-default 'mũrĩithi' (shepherd) used in insult/condemnation context; occupational identity male-coded.,"Akĩmeera atĩrĩ, “Nĩ ũndũ ũcio, mũrutani wa watho o wothe ũrĩa ũrutĩtwo ũhoro wa ũthamaki wa igũrũ-rĩ, ahaanaine na mwene nyũmba ũrĩa ũrutaga mũthiithũ-inĩ wake indo iria njerũ o na iria ngũrũ.”"
mwene nyũmba ũrĩa ũrutaga mũthiithũ-inĩ wake,mwene nyũmba ũrĩa ũrutaga indo-inĩ ya nyũmba yake,family_role,daily_life,implicit,warn,medium,Household management presented with male-default head-of-household pronoun; female household members not centered.,"“Gwatuka-rĩ, mwene mũgũnda ũcio wa mĩthabibũ akĩĩra mũrũgamĩrĩri wa wĩra wake atĩrĩ, ‘Ĩta aruti a wĩra ũmarĩhe mũcaara, wambĩrĩirie na arĩa maandĩkirwo thuutha, ũrĩkie na arĩa maandĩkirwo mbere.’"
mũrũgamĩrĩri wa wĩra,mũrũgamĩrĩri wa wĩra (no gender specification needed),pronoun_assumption,profession,implicit,warn,medium,The term 'mũrũgamĩrĩri' (steward/manager) is used with male-default pronoun assumption; no explicit gender marker but context implies maleness through role authority.,"Hĩndĩ ĩyo mũthĩnjĩri-Ngai ũcio mũnene agĩtembũranga nguo ciake, akiuga atĩrĩ, “Nĩaruma Ngai! Tũgũkĩbatario nĩ aira angĩ aakĩ? Atĩrĩrĩ, inyuĩ nĩmweiguĩra akĩruma Ngai."
mũthĩnjĩri-Ngai ũcio mũnene,mũruti-Ngai ũcio mũnene or mũrutani ũcio mũnene,occupation,profession,explicit,warn,high,'Mũthĩnjĩri-Ngai' (priest) is inherently gendered as male and represents a male-exclusive religious role in traditional Kikuyu context.,"Na rĩrĩa Jesũ oimagaraga, mũndũ ũmwe nĩatengʼerire harĩ we, agĩturia ndu mbere yake, akĩmũũria atĩrĩ, “Mũrutani mwega, ingĩĩka atĩa nĩguo ngaagaya muoyo wa tene na tene?”"
mũndũ ũcio warĩ mũtumumu,mũndũ ũcio warĩ mũtumu (remove diminutive/weakness association),capability,capability,implicit,warn,medium,"'Mũtumumu' (blind person, but with diminutive connotations) paired with supplication creates stereotype of disabled persons as helpless/weak.","Nake mũndũ ũcio agĩcookia atĩrĩ, “Mũrutani, ti-itherũ nĩwoiga wega atĩ Ngai nĩ ũmwe na gũtirĩ ũngĩ tiga we!"
mũrutani,mũrutani (contextually neutral term for teacher/expert),pronoun_generic,profession,implicit,warn,medium,"While 'mũrutani' can be gender-neutral, repeated use in positions of authority and moral teaching suggests male-default authority figure.",“Mwathi ũcio nĩagathĩrĩirie mũrũgamĩrĩri ũcio wa indo ciake ũtaarĩ mwĩhokeku nĩ ũndũ wa kũgĩa na ũũgĩ. Nĩgũkorwo andũ a gũkũ thĩ nĩ oogĩ na maũndũ mao gũkĩra andũ a ũtheri.
mũrũgamĩrĩri ũcio wa indo ciake ũtaarĩ mwĩhokeku,mũrũgamĩrĩri ũcio wa indo ciake ũtaarĩ mwĩhokeku (no gender change needed but context implies male manager),pronoun_assumption,profession,implicit,warn,medium,Manager/steward role defaults to male with implicit male pronoun assumption in position of resource control.,"Hĩndĩ ĩyo makĩmũnyiita, makĩmũruta hau makĩmũtwara kwa mũthĩnjĩri-Ngai ũrĩa mũnene, nake Petero akĩmũrũmĩrĩra arĩ o haraaya."
