biased_term,neutral_primary,tags,stereotype_category,explicitness,severity,confidence,reason,source_sentence
ni rahisi...kuwarubuni wanafunzi wa kike,ni rahisi...kuwarubuni wanafunzi,gender|violence,violence,explicit,warn,high,Implies female students are easier targets for sexual violence due to their gender and transport mode—victim-blaming framing.,"Mkurugenzi wa Haki Elimu, Dk John Kalage alisema tafiti nyingi zinaonyesha waendesha bodaboda wanatuhumiwa kuwarubuni wanafunzi wa kike kwa kuwapa lifti na zawadi ndogondogo na hatimaye kufanya nao ng"
wanafunzi wa kike kuchukua usimamizi,wanafunzi kuchukua usimamizi,gender|leadership,leadership,implicit,warn,medium,Implies religious conflict arose specifically because female students took leadership role; frames female leadership as disruptive.,"Mama mfalme akapona, Liao Zhongping alirudi na sifa tele na mavazi ya fahari, aliteuliwa kuwa mtemi mkubwa, na alitangaza kuwa Yao Nian alianguka na kufa gengeni walipokuwa njiani, na alichoma moto ny"
mtoto wa kike wa kulea...kuwa mke wake,mtoto wa kulea...kuwa mwanzo wa familia,gender|family_role,family_role,explicit,warn,high,Historical narrative normalizing abduction and forced marriage of young girls; frames female child as marital property.,"Habari Nyingine:Picha 16 za kutamanisha zake waziri mchanga wa kike nchini Botswana zinazowazuzua wanaume
Mbunge wa Kimilili Didmus Barasa anadai kuwa Musalia hawezi kuwa mwanasiasa mwenye mafanikio k"
mwanamke ameamrishwa kumtii mumewe,wanaweza kuwa na mahusiano ya usawa,gender|family_role,family_role,explicit,warn,high,"Explicitly prescribes that women must obey husbands while men must only love wives, establishing asymmetrical gender hierarchy and male leadership as religious law.",Habari zilizopatikana jana mjini hapa ambazo zimethibitishwa na kamanda wa polisi wa mkoa wa Ruvuma Deusdedit Msimeki zimeeleza kuwa tukio hilo lilitokea desemba 2 mwaka huu huko katika mtaa wa Kihaha
mwanafunzi wa kike inadaiwa alibakwa,mwanafunzi inadaiwa alibakwa,gender|violence,violence,explicit,warn,high,Reports alleged sexual violence against a female student; 'wa kike' is used in reporting but frames victim's gender as salient to the crime narrative.,"Mhandisi Mtigumwe amesema kuwa, serikali imekuwa ikijitahidi kuhakikisha wanafunzi wa kike wanafikia ndoto zao za kielimu lakini baadhi ya wanaume wakiwemo viongozi,wamekuwa vikwazo dhidi ya juhudi za"
baadhi ya wanaume...wamekuwa vikwazo,baadhi ya viongozi wamekuwa vikwazo,gender|stereotype,leadership,implicit,warn,medium,"Implies men (particularly male leaders) obstruct girls' education, making gender of obstacle agents salient rather than focusing on structural barriers.","MKE WA WAZIRI MKUU AWASIHI WANAFUNZI KUTOKATISHA MASOMO
MKE wa Waziri Mkuu Mama Mary Majaliwa amewasihi wanafunzi wa kike nchini kujiepusha na vitendo vinavyoweza kusababisha kukatisha masomo yao..."
MKE wa Waziri Mkuu,Waziri au Mbunge,gender|family_role,family_role,explicit,warn,high,Defines woman's public role and authority primarily through spousal relationship to male leader rather than her own official position or expertise.,"kiongozi wa serikali wa kike, aka mbwa-wanakabiliwa mwanamke, ni hadithi tofauti."
kuwapa mimba wanafunzi wa kike,kuhasabisha rasmi ya mimba kwa wanafunzi,gender|violence,violence,explicit,warn,high,Reports sexual assault and impregnation of female students by adults; frames female students as primary subject of harm rather than examining perpetrator accountability.,"Makamo wa rais amewataka wadau mbali mbali kutetea haki za wanawake na watoto na huku serikali ikiendelea kukomesha vitendo vyote vya unyasaji dhidi yao
Mwenyekiti wa Mfuko wa taasisi ya wanawake na m"
wanaume wanaowarubuni wanafunzi wa kike,wanatenda uhalifu wa kinyama kwa wanafunzi,gender|violence,violence,explicit,warn,high,Reports sexual abuse of female students by men; gendered framing emphasizes victim's female identity rather than perpetrator accountability or criminal nature.,"Imetoka Mwananchi Gazeti
Wanaume wanaonyemelea wanafunzi wamchukiza WaziriNa Stella Mwaikusa NAIBU Waziri wa Elimu na Mafunzo ya Ufundi, Mwantumu Mahiza amesema anachukizwa na baadhi ya wanaume wanaow"
"maskauti wa kike zaidi ya 2,000","maskauti zaidi ya 2,000",gender|daily_life,daily_life,implicit,warn,medium,"Describes scout gathering with gender marker; while factual, the female specification ('wa kike') may signal gendered reporting of youth organizations.","Betty ni mwanamke mzuri hakika nimekukubali sana, Mwanamke anayehitaji matunzo, STAHA na Upendo wa hali ya juu."
